translated_text_no_emoji,emoji_labels
After a long time there was a breath of relief ,[0]
I was able to reduce smoking! ,[0]
Good morning friends. . . . . . Have a nice day,[]
Fun all night online. . .   ,[0]
Road to Sylhet Stadium…   Really how beautiful our Sylhet!!,[0]
A cold wind seems to be blowing. All the bedding is cold. Extreme environment for sleeping. Come to sleep  Good night ,"[0, 0]"
Open GL Error problem solving!  http/fb.me/358jcI9zt,"[0, 3]"
"The sun does not know how beautiful the moon is, the night does not know how beautiful the day is. Darkness does not know how beautiful the light is. But, I know how beautiful you are!! #SRK_JAN ",[1]
Today is a happy day after so much injustice and exploitation. Definitely worth enjoying ,[0]
ICT (Information and Communication Technology) Paira considers herself an engineer Ah what joy inside the mind 3  ,"[0, 0, 0]"
"Moti has broken again  Today is Eid, joy in the house of Madinah! | Dainik Motikontho http/motikontho.wordpress.com/2013/09/17/kader/ …","[0, 3]"
"Let's see some pictures of the joyous procession after the death sentence of Kasai Quader  Jai Bangla, Jai Bangabandhu",[0]
 You are so beautiful http/fb.me/1590jN2dK,"[0, 3]"
"Looking at the 'English Book' for the sake of Tropa. If you like it after watching, I think I will express my gratitude ",[0]
It's always fun to hang out with the big brothers  ,[0]
Good night  Love to you ,"[0, 1]"
I was happy to read the news.  In the main phase of T20 World Cup without saving phase,[0]
"The movie 'Udhao' was good... the story-telling style is good...! And congratulations Amit... In that sense, appeal to all...special... http/fb.me/20kt5OzSA","[0, 3]"
Messi's great goal!  Barca lead 1-0 in 21 minutes #Mahe,[0]
I saw my old tweets. Had fun!  #nostalgia,[0]
good evening ),[0]
"Workshops, food, movies, and lots of fun!! ",[0]
Good night. Looking forward to a beautiful morning.,"[0, 0]"
"Personally, I like the game of Villa, so long ago I didn't watch it. Today I will enjoy the game of this Spanish legend ",[0]
"Login's Bangla has done ""Sadar Darsha"", very good! It felt good! ",[0]
Give me a chance to kill every Razakar... I can happily stand on the gallows and say Jai Bangla ,[0]
How many sisters like my sister? I am very lucky indeed. @ismsharika   love you puchu    ,"[0, 1]"
"Aha!! What a peaceful sleep!!! # Sir Wooden Ella, it's time to go to work! pic.twitter.com/Gs6IIkPxyE",[]
Ahhh! peace ,[0]
"On the occasion of birthday, if you can revise the favorite poet's poem all day, it is great! https/www.facebook.com/noirit/notes",[3]
"It should not be limited to death sentence for all Razakars but it should be implemented immediately. The slogan is only ""Joy Bangla, Joy Bangabandhu"" ",[0]
This is the first time I made a documentary for the sake of Rubel brother...  Thank you bro ... http/fb.me/TzEVk72f,"[0, 3]"
Making the impossible possible is the work of our Bangladesh ,[0]
Good evening! ,[0]
A little while ago I made a post asking for this positive blood in Chittagong. The blood has been managed. Thank you all ,[0]
Everything melts away in the magical light of the moon ,[0]
feeling Dil Khosh,[]
"just amazing Lagtes... story is not fact, acting and costume are awesome. ..............",[]
"Wow, how many likes for mother daughter? **Raju** http/fb.me/1Eq7bR18Y",[3]
King Leo began his work. yes Gave Barca the lead with a great goal ,[0]
#happiness is the smiling face of father and mother! ,[0]
Looking at the picture makes me feel good and am also having fun   http/fb.me/1hHBGg9aq,"[0, 0, 3]"
Love him and take care of him. ____chotoKobi ,[0]
Willpower can break all obstacles!,[]
I don't know if I love you but I know that I want to hold your hand again and again? Maybe this is love...,[1]
RT @bewahid: Happiness is smile on mother's face.,[]
The build up between Arbeloa and Di Maria was fantastic ,[0]
