Text,translated_text
"﻿যাক অনেকক্ষণ পরে স্বস্তির একটা বাতাস বয়ে গেল :)
",After a long time there was a breath of relief :)
"আমি সিগারেট খাওয়া কমাইয়া দিতে সক্ষম হইসি! :D
",I was able to reduce smoking! :D
"শুভ সকাল বন্ধুরা . . . . . . সুন্দর দিনের শুভকামনা
",Good morning friends. . . . . . Have a nice day
"মজাই মজা সারা রাত অনলাইন . . . :) :) :)
",Fun all night online. . . :) :) :)
"সিলেট স্টেডিয়ামের রাস্তা… :) :) সত্যিই আমাদের সিলেট কত সুন্দর!!
",Road to Sylhet Stadium… :) :) Really how beautiful our Sylhet!!
"হিমশীতল বাতাস বইছে মনে হয়। বিছানাপত্তর সবই ঠান্ডা। ঘুমানোর জন্য চরম পরিবেশ। আয় ঘুম আয় :p শুভ রাত্রি :)
",A cold wind seems to be blowing. All the bedding is cold. Extreme environment for sleeping. Come to sleep :p Good night :)
"Open GL Error সমস্যা সমাধান! :P http://fb.me/358jcI9zt
",Open GL Error problem solving! :P http://fb.me/358jcI9zt
"সূর্য জানে না চাঁদ কতো সুন্দর, রাত জানে না দিন কতো সুন্দর । অন্ধকার জানে না, আলো কতো সুন্দর । কিন্তু, আমি জানি তুমি কতো সুন্দর!! #SRK_JAN <3
","The sun does not know how beautiful the moon is, the night does not know how beautiful the day is. Darkness does not know how beautiful the light is. But, I know how beautiful you are!! #SRK_JAN <3"
"অনেক অবিচার আর শোষণ এর পর আজকে একটু খুশির দিন। নিঃসন্দেহে উপভোগ করার মত :)
",Today is a happy day after so much injustice and exploitation. Definitely worth enjoying :)
"ICT(Information and Communication Technology) পইরা নিজেরে ইঞ্জিনিয়ার মনে হইতেছে B| আহ কি আনন্দ মনের ভিতরে 3:) =D :p
",ICT (Information and Communication Technology) Paira considers herself an engineer Ah what joy inside the mind 3:) =D :p
"মতি আবার ফাডাইছে :D আজ ঈদ, মদিনার ঘরে ঘরে আনন্দ! | দৈনিক মতিকণ্ঠ http://motikontho.wordpress.com/2013/09/17/kader/ …
","Moti has broken again :D Today is Eid, joy in the house of Madinah! | Dainik Motikontho http://motikontho.wordpress.com/2013/09/17/kader/ …"
"যাক কসাই কাদেরের ফাঁসির রায়ের পর আনন্দ মিছিলের কিছু ছবি :) জয় বাংলা, জয় বঙ্গবন্ধু
","Let's see some pictures of the joyous procession after the death sentence of Kasai Quader :) Jai Bangla, Jai Bangabandhu"
":-) আপুটা অনেক সুন্দর http://fb.me/1590jN2dK
",:-) You are so beautiful http://fb.me/1590jN2dK
"Tropa র কল্যাণে 'ইংলিশ বই'টা দেখতেছি। দেখার পরে ভালো লাগলে কৃতজ্ঞতা প্রকাশ করবো ভাবছি :P
","Looking at the 'English Book' for the sake of Tropa. If you like it after watching, I think I will express my gratitude :P"
"বড় ভাইদের সাথে দাড়িয়ে খেতে সেইরাম মজা :-) :-)
",It's always fun to hang out with the big brothers :-) :-)
"শুভ রাত্রি :) তোমাদের জন্য ভালোবাসা <3
",Good night :) Love to you <3
"নিউজটা পইড়া খুশি হইলাম। :-) বাচাই পর্ব ছাড়াই টি-২০ বিশ্বকাপের মুল পর্বে 
",I was happy to read the news. :-) In the main phase of T20 World Cup without saving phase
"সিনেমা 'উধাও' ভাল লাগলো... গল্প বলার ঢং বেশ...! এবং অভিনন্দন অমিত...:) সেই অর্থে, সবার কাছে আবেদন...বিশেষ... http://fb.me/20kt5OzSA
","The movie 'Udhao' was good... the story-telling style is good...! And congratulations Amit...:) In that sense, appeal to all...special... http://fb.me/20kt5OzSA"
"মেসি মামার অসাধারণ গোল! :D ২১ মিনিটে বার্সা ১-০ এ এগিয়ে গেল #Mahe
",Messi's great goal! :D Barca lead 1-0 in 21 minutes #Mahe
"নিজের পুরান টুইট গুলা দেখতেসিলাম। ভালো মজা পাইলাম! :D #nostalgia
",I saw my old tweets. Had fun! :D #nostalgia
"শুভ সন্ধ্যা :))
",good evening :))
"ওয়ার্কশপ, খাবার-দাবার, মুভি আর অ্যাত্তোগুলা মজা!! :D
","Workshops, food, movies, and lots of fun!! :D"
"শুভ রাত্রি।সুন্দর সকালের প্রতাশায়।:-):-):)
",Good night. Looking forward to a beautiful morning.:-):-):)
"পার্সোনালি আমি ভিয়ার খেলা পছন্দ করি এতদিন বার্সার ছিল বলে দেখতাম না আজকে একটু হলেও এই স্প্যানিশ লেজেন্ড এর খেলা উপভোগ করবো :)
","Personally, I like the game of Villa, so long ago I didn't watch it. Today I will enjoy the game of this Spanish legend :)"
"লগইন এর বাংলা করেছে ""সদর দরজা"", বেশ ভালো লাগলো! বেশ ভালো লাগলো! :D
","Login's Bangla has done ""Sadar Darsha"", very good! It felt good! :D"
