row_number,original_comment,translated_comment
3,💚♦️🤑💋👏♥️👏,💚♦️🤑💋👏♥️👏
5,Me in 2018 🕺💃
Me in 2024 seeing the lyrics 🫢💀,Me in 2018 
Me in 2024 seeing the lyrics  🕺💃🫢💀
7,💌,💌
8,Hello alien👽,Hello alien 👽
13,😅😅😅😂🎉😊,😅😅😅😂🎉😊
14,😅😅😅😅😅😅😅😅😅,😅😅😅😅😅😅😅😅😅
19,😂,😂
22,😅😅😅😅😅,😅😅😅😅😅
23,Mi infancia😢,My childhood 😢
28,😂😂😂,😂😂😂
29,😂😂😂,😂😂😂
32,4.5B This song will all ways be in our hearts 6 years ago I wish I had a time machine😭❤,45B This song will all ways be in our hearts 6 years ago I wish I had a time machine 😭
37,Kkkkk😂😂😂,Hahahaha 😂😂😂
38,Ххахахаэав😊,Hahahahaha 😊
39,Indian ✋🏻,Indian 🏻
42,😊😢😊,😊😢😊
44,THIS WAS MY FAV VIDEO TO WATCH WHEN I WAS YOUNG AND I FOUND IT😮,THIS WAS MY FAV VIDEO TO WATCH WHEN I WAS YOUNG AND I FOUND IT 😮
45,Bunima😮😮😮😮😮😮😮😢😢😢😢😢,Rebellions 😮😮😮😮😮😮😮😢😢😢😢😢
46,My dad explaining the shortest how he made me 0:12 💀,My dad explaining the shortest how he made me 012  💀
47,Neetesh❤,Neetesh
48,😂😂😂😂😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂😂😂😂😂😂
53,❤❤🫱🏻‍🫲🏾👍👍👍👍,❤❤🫱🏻‍🫲🏾👍👍👍👍
57,💃🏼💃🏼🕺🏻🕺🏻🕺🏻💃🏼❣️❣️❣️,💃🏼💃🏼🕺🏻🕺🏻🕺🏻💃🏼❣️❣️❣️
58,Who loves mom 
👇,Who loves mom 👇
60,😢😢,😢😢
61,❤❤❤❤,❤❤❤❤
62,😭🔫,😭🔫
63,Bro that dance very nice😂😂,Bro that dance very nice 😂😂
66,This motherfucker used to give me nightmares 😭,This motherfucker used to give me nightmares  😭
70,Anyone listening in 2024 November 😅,Anyone listening in 2024 November  😅
71,I am from India 🇮🇳🇮🇳,I am from India  🇮🇳🇮🇳
76,This was our skibbity toilet😂,This was our skibbity toilet 😂
77,Muito engraçado 😂😂🤣😅,Very funny 😂😂🤣😅
79,😂😂😂😂,😂😂😂😂
81,😂😂😂,😂😂😂
82,English speakers:😄
Spanish speakers:💀,English speakers
Spanish speakers 😄💀
85,Sus 😂,Their 😂
87,I lovi you❤,I lovi you
92,😂😂😂😂😂,😂😂😂😂😂
95,Ok no😂😮😮😮😮😢😂😂😢😢🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😢😢😮😅😅😅,Ok no 😂😮😮😮😮😢😂😂😢😢🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😢😢😮😅😅😅
96,😂,😂
98,Il 9 years old and Ilove❤😮😂,Il 9 years old and Ilove 😮😂
100,Dbgxnk vídeo 😢,Dbgxnk video 😢
101,2018💃🏽
2024💀💀💀💀,2018💃🏽
2024💀💀💀💀
104,😢❤🎉,😢❤🎉
107,❤❤😂,❤❤😂
108,2018: ufo😠
2024:ja…not bad,2018 ufo
2024janot bad 😠
109,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
110,😅 0:31 🤬BRO,031 BRO 😅🤬
111,Bro this is my childhood😢,Bro this is my childhood 😢
113,😂😂😂😂😂😂❤,😂😂😂😂😂😂❤
114,Mdr😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Mdr 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
118,😂,😂
119,Zhzjzhsbzjshk😅😅😅😂😂,Zhzjzhsbzjshk 😅😅😅😂😂
125,AMO💀💀💀💀💀💀,AMO 💀💀💀💀💀💀
