row_number,original_comment,translated_comment
3,￼❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😰😭😭😭😭😭😖😔,￼❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😰😭😭😭😭😭😖😔
4,Sorry to me 🕺🏻🙂‍↔️,Sorry to me  🕺🏻🙂
5,Im in love with the girl in the Chicago Bulls jersey❤❤❤,Im in love with the girl in the Chicago Bulls jersey
11,October 2024  Date 20😂,October 2024  Date 20 😂
12,20 October 2024 ? 😢,20 October 2024   😢
15,👎👎👎👎👎👎👎🤮,👎👎👎👎👎👎👎🤮
18,Any bangali is here 😊,Any bangali is here 😊
19,Hey 👋🏻,Hey  👋🏻
20,Hey 👋🏻,Hey  👋🏻
21,Meu Deus já tem 8 anos que eu escuto essa música e ela continua sendo a minha preferida ❤,My God, I've been listening to this song for 8 years now and it's still my favorite.
24,October 2024❤?,October 2024
25,20-october 2024 anyone ❓,20october 2024 anyone
26,3.8B!!??????? 😮😮😮😮,38B 😮😮😮😮
31,Peak jb days☝️,Peak jb days
37,Fashion back then scares me😰,Fashion back then scares me 😰
40,Who's still here October 2024❤❤??,Whos still here October 2024
41,Belieber forever💜,Belieber forever 💜
44,This sorry for Selena Gomez maybe 🤔❤😂 2024,This sorry for Selena Gomez maybe  2024 🤔😂
46,Y love music ✨☺️🍎,Y love music  🍎
47,❤❤❤🎉🎉🎉,❤❤❤🎉🎉🎉
49,Baby ❤ Completed 😃,Baby  Completed  😃
54,BAEKHYUN PINEAPPLE SILCE MUSIC VIDEO❤
FIND IT,BAEKHYUN PINEAPPLE SILCE MUSIC VIDEO
FIND IT
55,2024💪🏻 come on,2024 come on 💪🏻
56,2024 🇧🇷,2024 🇧🇷
64,This will never get old.❤,This will never get old
66,👍👍,👍👍
67,Te pedimos Sorry!!!🙏🕊️💋 y seguimos orando por ti eres un Ángel canadiense....,We ask you Sorry and we continue praying for you, you are a Canadian Angel 🙏🕊💋
68,Classe A 👍,Class A 👍
71,Aaaaaaahfnskdkkdjnfbdja❤❤❤🎉,Aaaaaaahfnskdkkdjnfbdja 🎉
74,Jb enough ❤ my brother,Jb enough  my brother
86,DIDDY HATE PEOPLE👇,DIDDY HATE PEOPLE 👇
87,🇩🇿😎🇩🇿,🇩🇿😎🇩🇿
90,México pide justicia para ti y Michael J.😢😢😢😢😢😢😢😢😢,Mexico demands justice for you and Michael J. 😢😢😢😢😢😢😢😢😢
91,Quien en oct 2024.😢 perdon y justicia para ti bb.de los demonios en la tierra😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,Who in October 2024 forgiveness and justice for you baby of the demons on earth 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢
93,❤,❤
94,i love this song😮🤡,i love this song 😮🤡
95,Such a fun video. Class dancers ❤,Such a fun video Class dancers
102,My infance ❤❤,My infance
103,Im sorry MS.magnolia I COULDNT' stop my feelings 4 you...❤❤❤,Im sorry MSmagnolia I COULDNT stop my feelings 4 you
104,❤❤❤❤❤❤❤❤❤❤😇😇😇😇💝💝💝💞💞💟🤣😇👄💖💕💔💓❤💋💗💙💚💛🧡💜🖤💝💞💟❣💌💢,❤❤❤❤❤❤❤❤❤❤😇😇😇😇💝💝💝💞💞💟🤣😇👄💖💕💔💓❤💋💗💙💚💛🧡💜🖤💝💞💟❣💌💢
108,Suelen
🎉🎉❤🏝️,They usually 🎉🎉🏝
109,Suelen
🎉🎉❤🏝️,They usually 🎉🎉🏝
112,P Duddy 😢,P Duddy 😢
113,January 2035😂🎉, if you are watching this you're cool 😎,January 2035 if you are watching this youre cool  😂🎉😎
115,Love from INDIA 🇮🇳 ♥️,Love from INDIA   🇮🇳
117,So iconiccc, i grew up watching and listening to this❤,So iconiccc i grew up watching and listening to this
126,🎉 Yes,Yes 🎉
129,❤❤❤❤,❤❤❤❤
131,Octubre 2024❤❤❤❤❤,October 2024
133,17 October 2024 ?😢,17 October 2024  😢
134,I'm sorry😢❤,Im sorry 😢
138,Si very nice a music❤❤❤,Si very nice a music
141,Justim Bieber on plepre ok um ytr gwrty irve salvy  htroy coomvrow😢😮,Justim Bieber on plepre ok um ytr gwrty irve salvy  htroy coomvrow 😢😮
144,18 October 2024❤️❤️,18 October 2024
146,❤,❤
155,Who is listening today 2024 oct 17 😑😑,Who is listening today 2024 oct 17  😑😑
158,Sorry ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Sorry
160,NOSTALGIA😭,NOSTALGIA 😭
162,💜👀,💜👀
163,🇧🇷,🇧🇷
170,Bro the captions are only in Japanese?😂,Bro the captions are only in Japanese 😂
171,October 2024❤❤,October 2024
172,Octuber 2024? ❤,Octuber 2024
176,أنا أحب الموسيقى الشبح 👻,i love ghost music 👻
177,Wkwkwwkkw😂🎉,Wkwkwwkkw 😂🎉
180,October 17.102024 🎉,October 17102024  🎉
181,Justin, Speak your peace, let him feel your PAIN ❤WE LOVE YOU ❤️,Justin Speak your peace let him feel your PAIN WE LOVE YOU
184,언제나 늘 건행하세요,Always be safe
190,Anoyone in 17 October? 😭,Anoyone in 17 October  😭
194,Today 😂❤,Today 😂
196,Sorry🎉🎉🎉,Sorry 🎉🎉🎉
201,sorry Justin 🇧🇷,sorry Justin  🇧🇷
202,❤,❤
204,These ladies dancing out thier hearts gives me chills ❤❤,These ladies dancing out thier hearts gives me chills
206,Turn up baby 🍼🍼🍼🍼🍼,Turn up baby  🍼🍼🍼🍼🍼
209,❤❤❤,❤❤❤
211,Yes My friend 😊😊,Yes My friend  😊😊
215,😊😊😊😊,😊😊😊😊
216,❤️❤️❤️❤️,❤️❤️❤️❤️
219,Nossa faz tempo que eu não recordava essa época ❤,Wow, it's been a while since I remembered that time.
220,What an amazing song❤❤❤❤❤😊😊😊😊,What an amazing song 😊😊😊😊
221,Jesus te ama e eu também ❤,Jesus loves you and so do I
226,Who IS her on 2024 ❤,Who IS her on 2024
230,Sera que e so eu em 2024 relíquia 😅😅,Will it be just me in 2024, relic? 😅😅
233,17 october 2024??😂,17 october 2024 😂
240,l love  this song  l remember  when  l  sang  it for my girl  she cried 
❤❤,l love  this song  l remember  when  l  sang  it for my girl  she cried
241,Eu amava dançar essa msc qnd era pequena man ❤,I loved dancing this MSC when I was little.
245,Dios te bendiga Justin❤🥺,God bless you Justin 🥺
253,It's my birthday🎉, this hit feels the same 2024 . Anyone else in october?,Its my birthday this hit feels the same 2024  Anyone else in october 🎉
254,2016🎉🎉,2016🎉🎉
256,شكون جاء يشوف جاستن بيبر من قصة دادي 😹😹,Who came to see Justin Bieber from Daddy's story? 😹😹
258,4 billion soon guys..❤🎉,4 billion soon guys 🎉
261,15 oct 2024 any one here ❤❤,15 oct 2024 any one here
262,15 October ⚓like🔙,15 October like 🔙
263,15 October 2024🇸🇦,15 October 2024 🇸🇦
266,❤,❤
268,Jesus loves you ❤️,Jesus loves you
269,14 october 2024 ❤,14 october 2024
270,مشتاقين 💔,We miss you 💔
271,❤,❤
280,🇮🇹❤ ti amo justin,I love you justin 🇮🇹
281,the green girl was my crush 😭,the green girl was my crush  😭
288,who at the end of October : 2024 ?🇩🇴❤️🇵🇷🔥🔥🔥,who at the end of October  2024  🇩🇴🇵🇷🔥🔥🔥
292,❤❤,❤❤
301,🌼,🌼
305,14.10.2024❤,14.10.2024❤
312,I'm still listening this song ❤❤😢😢,Im still listening this song  😢😢
314,I came here for the iconic green shirt again ❤,I came here for the iconic green shirt again
316,want to know those who watching this song 2024 - 2025 ..I love you Justin Bieber ❤❤❤,want to know those who watching this song 2024  2025 I love you Justin Bieber
317,I want to know those who watching this song 2024 - 2025 ..I love you Justin Bieber ❤❤❤❤❤,I want to know those who watching this song 2024  2025 I love you Justin Bieber
321,La mejor canción en 2015  que puso temblar en toda la industria ❤❤,The best song in 2015 that made the entire industry tremble
322,Quien mas en octubre de 2024❤❤😢😢😢,Who else in October 2024 😢😢😢
323,October 14 .2024 ❤❤❤❤❤lots of love from Zimbabwe 🇿🇼,October 14 2024 lots of love from Zimbabwe  🇿🇼
325,All are trans 😂😂,All are trans 😂😂
328,The Best song❤❤❤❤❤,The Best song
331,Sdddssdswwwwfdsdssxdsdgfdfdsswswqwwqswqqq🎉,Sdddssdswwwwfdsdssxdsdgfdfdsswswqwwqswqqq 🎉
344,Turkey. ❤ turkiye 2024. 🎉,Turkey Turkey 2024 🎉
345,2:37,KKKK😅,237KKKK 😅
351,Haoleu is a bad pssy ☺️🙂,Haoleu is a bad pssy 🙂
352,Mergatroy in tune you 😂,Mergatroy in tune you  😂
359,13 de octubre del 2024 🎉,October 13, 2024 🎉
363,Come On Girls😍💜,Come On Girls 😍💜
364,So Good 😋💜,So Good 😋💜
365,So Good 😋💜,So Good 😋💜
369,🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼,🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼🇷🇼
370,It's not you who has to apologize, but all those who judged you.♥♥♥♥,Its not you who has to apologize but all those who judged you
371,October 2015✨
October 2024,October 2015
October 2024
376,La mejor música  ❤🎉,The best music 🎉
378,This video is a joke🤦🏾‍♂️😭😭😭😭,This video is a joke 🤦🏾😭😭😭😭
379,I will stop smoking if this comment gets 2k likes ❤,I will stop smoking if this comment gets 2k likes
380,Justin - sorry for diddy 48 hours😢,Justin  sorry for diddy 48 hours 😢
382,🇮🇹🇸🇬🇨🇵🇳🇿🇦🇷🇺🇲🇦🇷🇺🇲🇦🇷🇵🇱🇧🇻🇧🇻🇧🇷🇨🇦🇮🇹🇨🇵🇮🇹,🇮🇹🇸🇬🇨🇵🇳🇿🇦🇷🇺🇲🇦🇷🇺🇲🇦🇷🇵🇱🇧🇻🇧🇻🇧🇷🇨🇦🇮🇹🇨🇵🇮🇹
383,Who loves this song??🎉🎉🎉,Who loves this song 🎉🎉🎉
385,October 2024🎉,October 2024 🎉
386,❤❤❤❤❤❤❤❤,❤❤❤❤❤❤❤❤
389,WHO'S STILL HERE OCTOBER 2024 ?
💖😍💖,WHOS STILL HERE OCTOBER 2024 💖😍💖
390,Today ??? Visitor's ❤
Press 👍,Today  Visitors 
Press  👍
392,❤❤,❤❤
394,My cousins and I danced to it😂❤,My cousins and I danced to it 😂
395,The choreo😫😫😫😫😫😫,The choreo 😫😫😫😫😫😫
398,Doesn't this song remind you of Scoups? (It does to me👍🏻),Doesnt this song remind you of Scoups It does to me 👍🏻
399,Ufff my childhood the song cried 🥹😭😭,Ufff my childhood the song cried  🥹😭😭
404,2025🍷,2025🍷
405,Woww😂😂😂😂 واووه,Woww 😂😂😂😂
407,Anyone in 2024 October ❤,Anyone in 2024 October
409,❤,❤
410,❤
❤,❤
❤
411,Anyone in 2024?!🎉😂❤,Anyone in 2024 🎉😂
412,Nostalgia del 2016 😢
Alguien de agosto de 2024,Nostalgia for 2016 
Someone from August 2024 😢
413,🔥🔥❤️,🔥🔥❤️
414,Pdidy 😂,Pdidy 😂
416,12 de outubro de 2024 feliz dia das crianças a todos 🎉,October 12, 2024 Happy Children's Day to all 🎉
418,Damn ts really 8 years ago I remember when it was new I was still a lil kid 💀😭,Damn ts really 8 years ago I remember when it was new I was still a lil kid  💀😭
420,Everything was better when we listened to this in 2016 without knowing who Justin was😅,Everything was better when we listened to this in 2016 without knowing who Justin was 😅
424,Is come 13 October 2024 ❤,Is come 13 October 2024
430,Increíble la moda de antes❤,Amazing fashion from before
433,Omgggg 😢,Omgggg 😢
435,12/10/2024😭😭,12/10/2024😭😭
436,❤,❤
439,Sempre quero ouvir todos os dias ❤❤,I always want to hear every day
442,What😮,What 😮
443,D I D D Y  😶😶,D I D D Y 😶😶
448,No es por la polémica ❤ Tiene buenas canciones 😊✨️💜💗💗💗💗,It's not because of the controversy. It has good songs. 😊💜💗💗💗💗
