row_number,original_comment,translated_comment
8,𝚃𝚘𝚞 𝚘𝚜 𝚐𝚘𝚘𝚍 𝚙𝚎𝚏𝚎𝚌𝚝,𝚃𝚘𝚞 𝚘𝚜 𝚐𝚘𝚘𝚍 𝚙𝚎𝚏𝚎𝚌𝚝
10,😊😊😊😊,😊😊😊😊
13,2024-2025😮,2024-2025😮
21,Хорошо исполнила❤🎉,Well done 🎉
22,love from Bangladesh 😊,love from Bangladesh  😊
23,WHO is watching this in 2025👻,WHO is watching this in 2025 👻
24,Great ❤❤❤🎉🎉🎉😊😊😊,Great  🎉🎉🎉😊😊😊
26,Yo. Me. Paso. Por. Ser youtuber😂 tú,Yo Me Paso Por Ser youtuber tú 😂
29,4b views 😊,4b views 😊
30,💜💜💜,💜💜💜
44,I love roar from Katy perry❤,I love roar from Katy perry
45,La mejor  canción 🎶,The best song 🎶
49,👇who is watching in october 2024???????,who is watching in october 2024 👇
50,😅😅😅😅😅😅😅,😅😅😅😅😅😅😅
51,GO VEGAN  ❤,GO VEGAN
55,4B 😮❤🎉,4B 😮🎉
58,My favourite singer Katy Perry beautiful voice ❤️❤❤❤ very nice song 💖🤗🤳,My favourite singer Katy Perry beautiful voice  very nice song  💖🤗🤳
64,I'm here for my performance task in Creative Writing 😊,Im here for my performance task in Creative Writing  😊
65,Who is watching it in 2039 Jan😢,Who is watching it in 2039 Jan 😢
66,Me after being in a fight 😂,Me after being in a fight  😂
68,Amo essa música ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,I love this song
69,love katy perry💝,love katy perry 💝
71,Wait, why is this actually like the jungle book but it’s the one only adults can watch😃,Wait why is this actually like the jungle book but its the one only adults can watch 😃
76,2024 alguém 🇦🇴?,2024 someone 🇦🇴
79,Sugoii ❤🎉 2024 /10 19,Sugoii 2024 10 19 🎉
80,❤❤❤❤😊,❤❤❤❤😊
82,Aaaáaaah amo sua musicaaaaaa❤,Aaaáaaah I love his musicaaaaa
83,Here we go 5 billion🔥🔥🙌🏽❤️,Here we go 5 billion 🔥🔥🙌🏽
84,I love  this  song ❤❤❤❤❤❤❤❤❤❤❤❤❤❤,I love  this  song
91,👇Hey ! lets make this number 1 female hit again ! katy cats !!❤️🔥🔥🔥🔥 ROAR 🦁,Hey  lets make this number 1 female hit again  katy cats  ROAR  👇🔥🔥🔥🔥🦁
95,Who is watching in 2028🧏🤫
👇,Who is watching in 2028
 🧏🤫👇
96,who is here watchimg 1 January 2025...hope you made it❤,who is here watchimg 1 January 2025hope you made it
97,Me siguen trayendo recuerdos 🧍🏿‍♂️,They keep bringing back memories 🧍🏿
100,Who is watching it on November 😅,Who is watching it on November  😅
104,💚💛❤️ 
☮️♿️🚼,💚💛❤️ 
☮️♿️🚼
105,Song with the most views 😮..never die i love it,Song with the most views never die i love it 😮
112,over no hod charge andas rosa❤ 0ds
FJ0o conan and. oh. ooso you have size and ❤,over no hod charge andas rosa 0ds
FJ0o conan and oh ooso you have size and
114,Female tarzan😂,Female tarzan 😂
118,Sooo. ❤❤❤,Sooo
121,2024🎉,2024🎉
126,Anyone's 2025😅😊,Anyones 2025 😅😊
128,Ty for this masterpiece 😭,Ty for this masterpiece  😭
133,Who's listening on November 
👇,Whos listening on November 
 👇
136,❤,❤
137,Me nope..🐘,Me nope 🐘
140,😂,😂
141,😂,😂
142,🐘🐘🐘,🐘🐘🐘
143,❤❤❤❤,❤❤❤❤
144,❤❤❤❤🐘🐘🐘🐘😂😂😂🐘,❤❤❤❤🐘🐘🐘🐘😂😂😂🐘
149,Tiger 🐅 of vengeance song the ink ship and voodoo of Satan,Tiger  of vengeance song the ink ship and voodoo of Satan 🐅
