row_number,original_comment,translated_comment
2,8.5 md😮,85 md 😮
3,My also check out guys 😭😭,My also check out guys  😭😭
4,Soy el 53M 😮🎉,I am the 53M 😮🎉
7,Bluds views is the popularity of earth😭🙏,Bluds views is the popularity of earth 😭🙏
10,🇮🇶⁦༼⁠ ⁠つ⁠ ⁠◕⁠‿⁠◕⁠ ⁠༽⁠つ⁩,one 🇮🇶
11,2024 ❤️,2024 ❤️
12,Cette fille 👧 qui monte ses fesse a bit ou quoi 😮😮😮😮😮😮😮😮😮😊,This girl who shows her ass a bit or something 👧😮😮😮😮😮😮😮😮😮😊
14,🥰🥰🥰🥰🥰✈️✈️🛫🛫🛫 I Love you and she is a call back 💕 yr 😘 you 🤬 me To you 🙏 I need a cable for it 🙏 I,I Love you and she is a call back  yr  you  me To you  I need a cable for it  I 🥰🥰🥰🥰🥰🛫🛫🛫💕😘🤬🙏🙏
15,The whole world saw ts🙏😭,The whole world saw ts 🙏😭
17,Alguém de 2026😂😂,Someone from 2026 😂😂
19,BEYONCE 👺,BEYONCE 👺
20,Total population of world =8.2b
The. How 8.5b views on it😂,Total population of world 82b
The How 85b views on it 😂
21,I love this song is fantastic and pretty❤,I love this song is fantastic and pretty
25,🧚🏼‍♂️,🧚🏼‍♂️
28,2k25 kon kon sun raha he, 😂,2k25 who is the sun 😂
29,മലയാളി 😊,Malayala 😊
31,From India🇮🇳😂😂,From India 🇮🇳😂😂
33,2024😂🤩,2024😂🤩
36,800crore  views outstanding 😳😱 may be the most viewed video song on the world 🌍 😊 are u agree with me 👍🏻👍🏻👍🏻,800crore  views outstanding  may be the most viewed video song on the world   are u agree with me  😳😱🌍😊👍🏻👍🏻👍🏻
37,Great Song Luis Fonsi And Daddy Yankee Thanks. 😊❤,Great Song Luis Fonsi And Daddy Yankee Thanks  😊
38,2M de views en menos de 24 horas ! 😱😱😱😱 Definitivamente Hit mundial !💯🔥🔥🔝,2M views in less than 24 hours Definitely a worldwide hit 😱😱😱😱💯🔥🔥🔝
39,As a hunter as I Am I did not do it for the kill, I did it for the journey...😎🇺🇸🤘,As a hunter as I Am I did not do it for the kill I did it for the journey 😎🇺🇸🤘
41,Who loves this song hit like...the first 1000 likers will get a good news.....❤ please like,Who loves this song hit likethe first 1000 likers will get a good news please like
46,❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊,❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊
47,Love from KERALA,INDIA🇮🇳, country of HANUMANKIND 🫂💓,Love from KERALAINDIA country of HANUMANKIND  🇮🇳🫂💓
49,The 20th of October
8.567.387.475 views
Hey from Russia!🇷🇺🫡👋,The 20th of October
8567387475 views
Hey from Russia 🇷🇺🫡👋
50,Love from Bangladesh 🇧🇩,Love from Bangladesh  🇧🇩
51,Tenge tenge😂😂,Tenge tenge 😂😂
52,Favorite Singer 💝,Favorite Singer 💝
57,What an era 2017-20 ❤️‍🔥,What an era 201720 🔥
60,😏🎶🎶🎶,😏🎶🎶🎶
61,😅 and the song bit is really good for watching the music 🎶,and the song bit is really good for watching the music  😅🎶
62,I was not expecting the LYRICS!!! This is one of my favorites because in my highschool days we used this song to dance our ZUMBA😭😭😭,I was not expecting the LYRICS This is one of my favorites because in my highschool days we used this song to dance our ZUMBA 😭😭😭
63,Anyone 20 october 2024😂,Anyone 20 october 2024 😂
67,😢,😢
68,Free palestine 🇵🇸,Free palestine 🇵🇸
