row_number,original_comment,translated_comment
6,ยังฟังอยู่2024 💕🫶🏻,Yong Fong 2024 💕🫶🏻
9,Só lembro época de TVZ, essa era sucesso 😂❤,I only remember the TVZ era, it was a success 😂
10,💯💯,💯💯
12,한국인 등장이오!,A Korean appears
17,And please try to cure lupus soon than later🎉,And please try to cure lupus soon than later 🎉
21,Every day routine song ❤,Every day routine song
30,I'm gonna cry 😢,Im gonna cry 😢
32,Nice ❤ ?,Nice
33,Action ❤,Action
34,I love sam Smith ♥️ his voice is very emotional 😢,I love sam Smith  his voice is very emotional  😢
35,Está canción la Estado buscando des 2020 😢,I've been looking for this song since 2020 😢
38,For kannaa❤❤,For gifts
42,❤❤❤❤❤❤,❤❤❤❤❤❤
47,Amo Adam Levine! Demais!!!!♥️🔥♥️🔥♥️🔥🇺🇸🇧🇷🇺🇸🇧🇷🇺🇸🥰🥰🥰🥰😘😘😘😘,I Love Adam Levine So Much 🔥🔥🔥🇺🇸🇧🇷🇺🇸🇧🇷🇺🇸🥰🥰🥰🥰😘😘😘😘
48,Música linda clipe nada a ver e a Lady Gaga sendo um mal exemplo com😮 esse cigarro na boca.,Beautiful music video with nothing to do with it and Lady Gaga being a bad example with that cigarette in her mouth 😮
54,One of the best songs in 2015 ❤ bring me back,One of the best songs in 2015  bring me back
57,Anyone's 2025😅😊,Anyones 2025 😅😊
59,Amo demais  essa música  linda e maravilhosa  e tbm amo a banda❤ show de bola,I love this beautiful and wonderful song so much and I also love the band Show de Bola
60,Mike Posner 😅,Mike Posner 😅
65,Mi canción favorita😍😍😍😍😍😍,My favorite song 😍😍😍😍😍😍
66,I love this band ❤,I love this band
68,Here i'm sugaaaaar😉,Here im sugaaaaar 😉
70,SUPERR COOLLL🎉🎉❤❤,SUPERR COOLLL 🎉🎉
75,Sugar free 🆓🆓🆓🆓🆓🆓🆓🆓❤❤🎉🎉😢😢😮😮😮❤❤❤❤❤❤❤ Diane 💋💋❤️💋❤️💋❤️💋 Allen babygirl,Sugar free  Diane  Allen babygirl 🆓🆓🆓🆓🆓🆓🆓🆓🎉🎉😢😢😮😮😮💋💋💋💋💋
90,😂😂na,already 😂😂
93,Gives me goosebumps I love it 🥰 ❤,Gives me goosebumps I love it   🥰
94,❤,❤
95,Ye me and my beautiful soulmate ❤️❤️❤️❤️💋💋💋💋,Ye me and my beautiful soulmate  💋💋💋💋
100,❤❤❤❤❤❤❤🎉😍😘,❤❤❤❤❤❤❤🎉😍😘
102,This song was released on my birthday 😮😮🎉,This song was released on my birthday  😮😮🎉
103,💙💙💙 Oct 2024,Oct 2024 💙💙💙
105,Who came to watch it again in 2024?👋👋,Who came to watch it again in 2024 👋👋
108,❤,❤
111,Sugar👌👍💥🌜☕🚬,Sugar 👌👍💥🌜🚬
112,Anyone in Oct. 2024?❤,Anyone in Oct 2024
115,Hi Adam! Hi Black ❤❤❤,Hi Adam Hi Black
124,0.25x💀💀💀💀💀,025x 💀💀💀💀💀
125,I would like for this to happen to me on my Wedding Day whenever I'm getting married ❤❤❤❤,I would like for this to happen to me on my Wedding Day whenever Im getting married
130,🤗🤗🤗🤗🤗🤗😘😘😘,🤗🤗🤗🤗🤗🤗😘😘😘
135,Sugar🎉🎉🎉🎉🎉,Sugar 🎉🎉🎉🎉🎉
140,Who is the singer? Not Maroon 5 😅,Who is the singer Not Maroon 5  😅
141,That random little "wtf" said by the bride got me on the floor 😂 3:17,That random little wtf said by the bride got me on the floor  317 😂
142,My English not good but I love this song😂,My English not good but I love this song 😂
143,Anyone in October 2024😊,Anyone in October 2024 😊
145,🎉 Sugar - Octubre 2024,Sugar October 2024 🎉
154,削个椰子皮 你却他妈给个🍐,I'm peeling a coconut, but you give me a fucking 🍐
155,❤️‍🔥❤️❤️‍🔥,❤️‍🔥❤️❤️‍🔥
160,Precioso❤,Precious
162,It is Oct 2024..❤,It is Oct 2024
164,伝説,Legend
165,Música maravilhosa ❤,Wonderful music
166,Anyone in oct. 15 ❤,Anyone in oct 15
172,The emotions in this songs is just so much😊,The emotions in this songs is just so much 😊
175,❤❤❤❤❤❤❤,❤❤❤❤❤❤❤
179,Anyone October 2024🌚🔥,Anyone October 2024 🌚🔥
200,Anyone  in november 2024?🤩👌,Anyone  in november 2024 🤩👌
203,Is it bad that after 2-3+ drinks i can hit all these notes 😂,Is it bad that after 23 drinks i can hit all these notes  😂
204,Anyone in October 2024
❤❤❤❤😂😂😂,Anyone in October 2024
 😂😂😂
208,2024 still listening 🎉 🍷,2024 still listening 🎉🍷
209,did anyone notice bride biceps 💪🥴,did anyone notice bride biceps  💪🥴
211,根本結婚必備啊,It’s absolutely necessary for marriage
212,❤❤❤❤,❤❤❤❤
219,2024年10月有人嗎,October 2024 anyone?
222,神曲すぎる！,It's such a divine song.
228,Oh yes ! ❤,Oh yes
229,Amo esta music ❤,I love this music
230,Hola quiero like porfa😢,Hi, I want a like please 😢
231,😢🎉😂😮🎉🎉😅🎉😅😂❤🎉😅😅😅😊😅😮😂😅😊,😢🎉😂😮🎉🎉😅🎉😅😂❤🎉😅😅😅😊😅😮😂😅😊
