row_number,original_comment,translated_comment
2,I love this song so much that I play it everyday😊,I love this song so much that I play it everyday 😊
3,I remember when this song was 5 years old 😅,I remember when this song was 5 years old  😅
9,2024 nghe vẫn hay 🔥❤️‍🔥,2024 still sounds good 🔥🔥
10,🎉,🎉
11,The best song ever!
Those who agree?
👇,The best song ever
Those who agree
 👇
12,11 years later and this song is still a legend❤,11 years later and this song is still a legend
16,2024❤,2024❤
17,O.M.G🎉🎉🎉🎉🎉🎉🎉❤❤,OMG 🎉🎉🎉🎉🎉🎉🎉
19,2013 popular song 2024 still popular 😊,2013 popular song 2024 still popular 😊
44,Des insomniaques en octobre 2024 ? 😂 2h08,Insomniacs in October 2024 2:08 😂
48,My 6 year old son's favorite song!!😊😊😊😊,My 6 year old sons favorite song 😊😊😊😊
51,Whi thinks the is the oldest and best songg 😮😮😮😮😮😮😮,Whi thinks the is the oldest and best songg  😮😮😮😮😮😮😮
55,Yeah😊,Yeah 😊
65,I don't know this song has a lyrics😅😅,I dont know this song has a lyrics 😅😅
72,2024??❤,2024??❤
73,❤,❤
78,Who's here 2025?🎉,Whos here 2025 🎉
80,Legends❤,Legends
87,Wow 11 years old ☠️,Wow 11 years old
89,2024 19 okt 😊,2024 Oct 19 😊
98,I always enjoy when i listen to this music 🎉🎉🎉,I always enjoy when i listen to this music  🎉🎉🎉
100,10/2024 ❤,10/2024 ❤
101,いつ聞いても最高の曲,The best song ever heard
105,Anyone's 2025😅😊,Anyones 2025 😅😊
108,still love the old music  ♥,still love the old music
117,Who in 18 oct 2024❤?,Who in 18 oct 2024
118,This song will never grow old to me ❤😫😫😫,This song will never grow old to me  😫😫😫
122,Love from INDIA 🇮🇳,Love from INDIA  🇮🇳
127,We will be counting 🌟,We will be counting  🌟
129,I was 11 years old in 2013... 😢😢😢😢😢😢😭😭😭😭😭😭♥️♥️♥️♥️♥️♥️,I was 11 years old in 2013  😢😢😢😢😢😢😭😭😭😭😭😭
130,All time favourite ❤,All time favourite
131,このコメントを翻訳した人はいいねをお願い！,If you translated this comment, please like it.
142,I enjoy this song❤🎉,I enjoy this song 🎉
147,R.i.p Liam Payne 🕊,Rip Liam Payne 🕊
149,This music is so sad but it melts my ❤️,This music is so sad but it melts my
153,Who still listen to this masterpiece ❤️‍🩹❤️‍🩹,Who still listen to this masterpiece  🩹🩹
168,whos here after Liam paynes death.. 😢,whos here after Liam paynes death  😢
171,18 October 2024 anyone 😊,18 October 2024 anyone  😊
172,Here 2030😂,Here 2030 😂
176,Muito triste, mais um jovem que se perde,😢😢😢,Very sad, another young man is lost 😢😢😢
177,4 billion Man I remember when I was the 1st view!!!! 🎉 ❤️,4 billion Man I remember when I was the 1st view   🎉
187,RIP 🕊️🕊️,RIP 🕊🕊
188,Rip peace son love you ❣️ xXx,Rip peace son love you  xXx
189,"everything that kills me makes me feel alive"
And that pointing made me sick 😮😮,everything that kills me makes me feel alive
And that pointing made me sick  😮😮
190,RIP Liam Payne🌼❤‍🩹,RIP Liam Payne 🌼🩹
194,Rip❤,Rip
197,I love  your song❤it  is so 🔥 and  good.,I love  your songit  is so  and  good 🔥
209,RIP Liam 😢,RIP Liam 😢
212,RIP legend liam❤,RIP legend liam
213,Rip Liam 🕊️,Rip Liam 🕊
222,Top 10 best songs🎉,Top 10 best songs 🎉
226,A perfect definition of masterpiece 🔥,A perfect definition of masterpiece  🔥
229,This hits hard!!, love this song❤❤,This hits hard love this song
231,💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💘💘💘,💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💘💘💘
237,何人が見てらっしゃってますか？,How many people are watching?
242,늘 항상 건행하세요,Always, always stay healthy
250,anyone 2034 🎉,anyone 2034 🎉
261,I can’t believe that i just knew about this piece of art 😢 where was i,I cant believe that i just knew about this piece of art  where was i 😢
267,Jesus loves you, come back to him☦,Jesus loves you come back to him
268,Eterno Paul Walker
🥀🖤,Eternal Paul Walker 🥀🖤
273,2024 🙌🙌,2024 🙌🙌
275,I JUST LOVE THIS SONG! My sis says this song sucks but no It doesn't ❤,I JUST LOVE THIS SONG My sis says this song sucks but no It doesnt
277,2024  boys 😄,2024  boys 😄
278,2025 gang😊,2025 gang 😊
284,Who's listening in 2025😊,Whos listening in 2025 😊
288,Gostei tanto da música , sempre quero ouvir ela todos os dias ❤❤,I liked the song so much I always want to listen to it every day
290,Preferred band 💙🩵🩷💜🖤🩶,Preferred band  💙🩵🩷💜🖤🩶
295,Aquí los que ven el video en 2024
👍,Here are those who watch the video in 2024 👍
296,First song i have seen with over 4billion views😮,First song i have seen with over 4billion views 😮
299,2025 LEGENDS🎉,2025 LEGENDS 🎉
305,bikin mood naik nih lagu❤,this song makes me feel good
309,最高の曲に出会ってしまった,I found the best song
310,Someone from 2025😂,Someone from 2025 😂
311,Who someone in 2024 ❤,Who someone in 2024
314,14 october 2024🎉,14 october 2024 🎉
320,October 2024 🙋🏻‍♀️💥,October 2024  🙋🏻💥
321,I just realised this video has 4 billion views 😩😂😂,I just realised this video has 4 billion views  😩😂😂
328,ALLIGATOR 🐊🐊🐊,ALLIGATOR 🐊🐊🐊
331,Good musik♾️,Good music
333,Someone in Octobre 2024❤,Someone in Octobre 2024
337,4billon views…RESPECT🔥🔥🔥🗣️🔥🗣️🔥,4billon viewsRESPECT 🔥🔥🔥🗣🔥🗣🔥
351,Anyone in October 2024? ❤,Anyone in October 2024
352,Some One IN   OCT 2024  ☺🤘,Some One IN   OCT 2024   🤘
356,1:13😺,1:13😺
362,🎮🎮,🎮🎮
366,Anyone in 2025 😅! I'm a student and listening to this always motivates me! ❤🙌🏻,Anyone in 2025  Im a student and listening to this always motivates me  😅🙌🏻
367,October 13 2024 ❤,October 13 2024
374,Im here❤,Im here
382,Are there people who are here in 2025?💀,Are there people who are here in 2025 💀
385,노래 너무좋아,I love this song so much
386,40억 조회수 미쳤네,4 billion views is crazy
388,WHAT PARTY ANIMALS ARE HERE OCTOBER 2024!!!🎉🎉🎉,WHAT PARTY ANIMALS ARE HERE OCTOBER 2024 🎉🎉🎉
391,Octubre de 2024 ❤,October 2024
392,Someone 2024😢,Someone 2024 😢
394,Enjoy moment 🎉,Enjoy moment 🎉
397,Omg great❤❤,Omg great
402,👍👍👍👍👍👍👍👍👍,👍👍👍👍👍👍👍👍👍
405,Let's go!🎉,Lets go 🎉
408,Xzx zzzzz xzxzxz z zxzxz xzcxfgdys😂😂😂😂😂
😮😊😅😢🎉🎉,Xzx zzzzz xzxzxz z zxzxz xzcxfgdys 😂😂😂😂😂😮😊😅😢🎉🎉
412,한쿸인 손부탁드립니다,Please give me a helping hand
413,すきです,I like it
422,여기 한국인은 없나요?,Are there any Koreans here?
424,The best of the best 🎉,The best of the best  🎉
430,who is watching in 2024 october??? if do you have i want to be friend😍😍,who is watching in 2024 october if do you have i want to be friend 😍😍
433,If your in 2024 

👇,If your in 2024 

 👇
435,‏‪2:35‬‏ 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,‏‪2:35‬‏ 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
437,Привет, 😂,Hello 😂
448,this is my best music💖,this is my best music 💖
449,THIS HITS HARD💯💯💯💯💯💯💯💯,THIS HITS HARD 💯💯💯💯💯💯💯💯
456,Who watching weekly 😂,Who watching weekly  😂
457,🇯🇵Japanese AREA❤,Japanese AREA 🇯🇵
461,❤,❤
463,❤,❤
466,Who here in 2024
👇🏻,Who here in 2024
 👇🏻
468,Anyone in 2024😢,Anyone in 2024 😢
470,👌,👌
474,Great song 😮 4 billion views 😮😮😮😮😮😮😮😮😮😮😮😮 2:31,Great song  4 billion views  231 😮😮😮😮😮😮😮😮😮😮😮😮😮
475,WE HAVIN TRAIN CRASHES WITH THIS ONE🔥🔥🔥🔥🔥,WE HAVIN TRAIN CRASHES WITH THIS ONE 🔥🔥🔥🔥🔥
480,Fortnite song now 💀,Fortnite song now  💀
485,2013 was 11 years ago.....😢😢,2013 was 11 years ago 😢😢
489,One of my favourite song...! So wonderful and amazing!🥰😇😍🤩,One of my favourite song So wonderful and amazing 🥰😇😍🤩
492,I enjoy❤,I enjoy
493,✨😌🫶💯✨,✨😌🫶💯✨
496,2:07 love love only love ❤❤❤❤,207 love love only love
500,October 2024 anyone? nostalgic ✨,October 2024 anyone nostalgic
502,chill❤,chill
505,🎵,🎵
506,2024 anyone 😂,2024 anyone 😂
508,2025 assemble here❤ 😭🥺,2025 assemble here  😭🥺
509,😢,😢
510,Me encanta esta cancion🎶🇻🇳🤙,I love this song 🎶🇻🇳🤙
515,So much memories, best song ever ❤,So much memories best song ever
517,WOW 4B VIEWS 😱,WOW 4B VIEWS 😱
521,🎉,🎉
523,eleven years?!!!! WTF, THIS SONG IS MY INFANCE😭❤,eleven years WTF THIS SONG IS MY INFANCE 😭
527,11 years old and it still rocks🔥🔥🔥🔥🔥,11 years old and it still rocks 🔥🔥🔥🔥🔥
531,I am October 2024 😊,I am October 2024  😊
533,At least im older than this song😂,At least im older than this song 😂
537,Best song ive heard!!!❤,Best song ive heard
540,❤,❤
541,똥참아가면서 노래듣고있다니 똥참는느낌이 좋네,You're listening to music while holding in your shit, it feels good to hold in your shit
545,This song will never end or be forgotten!! 😎❤💜,This song will never end or be forgotten  😎💜
548,Wow it is a very inpressive song welldone Republic😁✌,Wow it is a very inpressive song welldone Republic 😁
551,😍😍😍😍😍,😍😍😍😍😍
553,❤❤❤,❤❤❤
554,Background music for the last moments of the plane crash😢😢😢 rip,Background music for the last moments of the plane crash rip 😢😢😢
558,Who plays minecraft 👇,Who plays minecraft  👇
559,定期的に聞いてる,I listen to it regularly
560,l Iove❤,Jupiter
562,日本から聞いてます,I'm listening from Japan
566,Baby will be counting stars 🌟 ❤😊,Baby will be counting stars   🌟😊
567,🔥,🔥
568,Guys who still rember this legendary song and has come back 😊❤❤,Guys who still rember this legendary song and has come back  😊
569,❤ like comment subscribe kar diya hai madam ji,I have liked, commented and subscribed madam ji
575,Christian rock😂,Christian rock 😂
576,Anyone in 2030❤??,Anyone in 2030
581,😇😇😇😇😇😇😇😇😇😇😇😇😇😇,😇😇😇😇😇😇😇😇😇😇😇😇😇😇
587,😎😎👇🏼♥️😄❤️💋🙏😇🥲🤣,😎😎👇🏼♥️😄❤️💋🙏😇🥲🤣
588,YLove❤ the music❤❤🎉😊,YLove the music 🎉😊
591,2024❤,2024❤
592,副長めんまから来た人挙手して！！,Raise your hand if you're from Vice-Chief Menma
595,Sie steht auf und ich schlaf ein 😉,She gets up and I fall asleep 😉
596,Yessir 😅,Yessir 😅
597,2024 ?❤,2024 ?❤
598,Why are the days gone so fast for these type of songs ?😧,Why are the days gone so fast for these type of songs  😧
599,Sorry im late😅😅,Sorry im late 😅😅
617,still here❤,still here
619,2009-2012 kids
⬇️,20092012 kids
622,So cool 😎😎😎,So cool  😎😎😎
623,this song is def still🔥and will be for a long time more,this song is def stilland will be for a long time more 🔥
628,Never old ewerytime legendary❤😢,Never old ewerytime legendary 😢
629,Brasil 10/2024 🇧🇷,Brazil 102024 🇧🇷
641,This music is very nice🎉🎉❤,This music is very nice 🎉🎉
642,😍😍😍,😍😍😍
644,最愛這首歌,Love this song
647,That one plane crash edit😔,That one plane crash edit 😔
649,11 years and it’s still a banger song…..❤,11 years and its still a banger song
650,“every things that kill me make me feels alright”damn😮,every things that kill me make me feels alrightdamn 😮
654,Who love this song?❤❤❤,Who love this song
655,October 8th. 2024. Still here, and still absolutely fresh❤❤,October 8th 2024 Still here and still absolutely fresh
657,7oct 2024 attendance. This song s still plays in home theatre ❤ cant forget the art ever ❤,7oct 2024 attendance This song s still plays in home theatre  cant forget the art ever
663,It's my favorite song 😍,Its my favorite song  😍
