Video Title,RMSE
Luis_Fonsi_Despacito,62.22542573
Crazy Frog - Axel F (Official Video),61.83978138
Ed Sheeran - Shape of You ,62.95745139
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,64.09801403
Maroon 5 - Sugar (Official Music Video),65.14923435
OneRepublic - Counting Stars,63.61549262
PSY - GANGNAM STYLE(강남스타일) MV,62.18804205
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),63.70749745348762
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,61.665881735604955
श्री हनुमान चालीसा 🌺🙏 Shree Hanuman Chalisa Original Video 🙏🌺 GULSHAN KUMAR  HARIHARAN Full HD,63.44649815001488
"El Chombo, Dancing Green Alien - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records]",61.10219286130711
