row_number,original_comment,translated_comment
4,Ti amo tinti😂,I love you dyed 😂
7,❤❤❤❤❤❤I Love You 👏👏👏👏,I Love You 👏👏👏👏
12,😂😂😂😂😂,😂😂😂😂😂
13,😂,😂
16,Brings back so many memories 🩷🩷❤️❤️❤️,Brings back so many memories  🩷🩷
18,🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇫🇹🇷🇹🇴🇺🇬🇺🇦🇹🇲🔥🔥🔥🔥🔥🔥🔥🔥,🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇻🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇫🇹🇷🇹🇴🇺🇬🇺🇦🇹🇲🔥🔥🔥🔥🔥🔥🔥🔥
21,5B💀☠💀☠☠💀?,5B 💀💀💀
26,my childhood song❤️‍🩹,my childhood song 🩹
30,Whos here after November of 2024! We won 🎉🎉🎉😂,Whos here after November of 2024 We won  🎉🎉🎉😂
31,Who Is Watching in 2024 October 👇,Who Is Watching in 2024 October  👇
33,😂Y😂u😂jj,Yujj 😂😂😂
34,😂Y😂u😂jj,Yujj 😂😂😂
38,Bombom😂,Candy 😂
42,ワハハ,Hahaha
43,I love❤❤❤❤,I love
58,Bing Bing😊,Bing Bing 😊
61,U know that this sound is in a toy voice too😯,U know that this sound is in a toy voice too 😯
63,....😢
This is my childhood,This is my childhood 😢
68,Bro just shaped our childhood with this masterpiece 😭,Bro just shaped our childhood with this masterpiece  😭
73,vidionya seumuran sm gw😂,the video is the same age as me 😂
75,😅,😅
84,Anyone October Here? 2024👇
👍,Anyone October Here 2024
 👇👍
86,❤,❤
88,support me guys  pls😢,support me guys  pls 😢
90,20.10.2024🎉❤,20.10.2024🎉❤
93,The most likes song,my childhood fav song actually 😊,The most likes songmy childhood fav song actually  😊
94,👍👍👍👍👍👍👍,👍👍👍👍👍👍👍
96,Anybody in October 19😅,Anybody in October 19 😅
97,@avelanebarbosasantos8170
hace 3 días
Vai voltar a bombar ❤ ela atravessa épocas e gerações kkk,avelanebarbosasantos8170 
3 days ago 
It's going to be a hit again, it crosses eras and generations lol
105,Tek türk ben miyim bu efsane şarkıyı dinleyen 😢,Am I the only Turk listening to this legendary song? 😢
108,😂😂😂 złe Tłumaczenie 💫ale Moc się Nie Zmienia nie 😊❤,Bad Translation but Power Does Not Change 😂😂😂💫😊
109,Lagu yang sering saya puter di cd 😂
Jadi nostalgia 🤧,Songs that I often play on CD
So nostalgic 😂🤧
111,❤❤❤❤🎉😅,❤❤❤❤🎉😅
113,I was not in this earth when this was released 💀💀,I was not in this earth when this was released  💀💀
114,❤,❤
121,Каждый раз когда кто то лайкает этот ком я снова и снова буду смотреиь этот шедевр😂❤,Every time someone likes this com I will watch this masterpiece again and again 😂
124,Vim só relembrar os bons tempos da vida 😢,I just came to remember the good times in life 😢
125,Çocuklarım (4 ve 6) sürekli yatağımıza çıkıp bu şarkıyla zıplıyorlar, bebekkenden beri.😊,My kids, 4 and 6, have been jumping on our bed to this song since they were babies. 😊
127,En efecto es cine 🚬,It is indeed cinema 🚬
128,Ностальгия...😢,Nostalgia 😢
129,Anyone is from 2026? 😎,Anyone is from 2026  😎
132,This is my childhood😢,This is my childhood 😢
133,❤🤣🤣🤣🤣🤣🤣🤮,❤🤣🤣🤣🤣🤣🤣🤮
134,19 October In2024 😂,19 October In2024  😂
145,Vindo aqui em 2024 pra relembrar minha infância novamente bons tempos 💭,Coming here in 2024 to remember my childhood again good times 💭
146,Ah my childhood ❤❤,Ah my childhood
147,😅😅,😅😅
