row_number,original_comment,translated_comment
3,😮😮,😮😮
9,From a street artist to everyone’s favourite ❤,From a street artist to everyones favourite
10,Có ai là người Việt Nam đang xem ko 😁,Is anyone Vietnamese watching? 😁
11,0:35 to 0:55 is the best part of the song for only mine ,i think 🥰😍,035 to 055 is the best part of the song for only mine i think  🥰😍
18,Ye song anytime suna jne vala h all time fav. ❤❤,Ye song anytime suna jne vala h all time fav
19,Love from Bangladesh ❤😂,Love from Bangladesh  😂
20,Anyone here in 2050 💀,Anyone here in 2050  💀
21,2k25 k😂,2k25k 😂
23,Iam from Bangladesh ❤❤❤ love this song,Iam from Bangladesh  love this song
24,Много. Яко. ❤❤❤❤😭😭😭👍👍👍👍🫡🫡👌👌👌👌👌👌👌👌👌,Very Cool 😭😭😭👍👍👍👍🫡🫡👌👌👌👌👌👌👌👌👌
30,Masterpiece 🌟,Masterpiece 🌟
31,❤❤❤ I like of someone special with that song ❤❤❤❤,I like of someone special with that song
33,一生始まらないshape of you 思い出した,I remembered the shape of you that will never begin again
35,ホークス、牧原大成に代わり、
中村晃。 背番号、7,Hawks: Akira Nakamura, number 7, replaces Taisei Makihara
36,Anyone here in 2024🇯🇵？,Anyone here in 2024 🇯🇵
37,In 2024, From Nepal.🇳🇵,In 2024 From Nepal 🇳🇵
38,*Enes Batur 👊🏻 gerçek bu sahte skdvsbb*,Enes Batur is real this is fake skdvsbb 👊🏻
39,Love in the shape of you💝!,Love in the shape of you 💝
40,My favourite music 🎶🎶🎶🎶🎵 
Shape of you,My favourite music  
Shape of you 🎶🎶🎶🎶🎵
45,💛💛💛💛💛💛The most talented person Ed Sheeran.🥰,The most talented person Ed Sheeran 💛💛💛💛💛💛🥰
49,Happy karva chauth MY BABY😚♥️💞♥️👑💋♥️😚💞UMHHHHH,Happy karva chauth MY BABYUMHHHHH 😚💞👑💋😚💞
54,이때가 그립다,I miss those days
61,BEATTER THAN THE BEST❤,BEATTER THAN THE BEST
63,20 October 2024, anyone here now??? 🖐️🖐️,20 October 2024 anyone here now  🖐🖐
64,Anyone in 20 October 2024❤???? This song can never get old...❤❤,Anyone in 20 October 2024 This song can never get old
65,24/03 ps❤️,2403 ps
72,❤❤❤,❤❤❤
75,Whos here October 2025🎉🎉,Whos here October 2025 🎉🎉
77,2024 hello again🎉🎉,2024 hello again 🎉🎉
88,it's pretty good❤,its pretty good
92,man!! alot of Memories❤,man alot of Memories
96,6 billion views

33 million likes 💀,6 billion views

33 million likes 💀
97,This almost has more views than are population 😱😱😱,This almost has more views than are population  😱😱😱
99,Anyone from India❤,Anyone from India
100,That kick in the end😮🎉🤯🤩,That kick in the end 😮🎉🤯🤩
102,2018 real madrid vibes💯,2018 real madrid vibes 💯
106,Anyone from 3100 😏😏😂😂😂,Anyone from 3100  😏😏😂😂😂
108,Anyone today who is watching 😢😂🎉,Anyone today who is watching  😢😂🎉
109,Who's listening in 2025? 🌝,Whos listening in 2025  🌝
113,最高の曲❤❤❤❤,Best Songs
115,Anyone hera in 19/10/2024❤🇧🇩,Anyone hera in 19102024 🇧🇩
118,Anyone from 2050❔❔❓❓😂😂,Anyone from 2050 😂😂
119,❤❤❤,❤❤❤
122,people raise hand if they are watching this in 2026

😕😕,people raise hand if they are watching this in 2026

 😕😕
126,中村晃が…………,Akira Nakamura
127,Bi tarafda havuç var bir tarafda boks torbasi😂😂😂😂😂😂😂,There is a carrot on one side and a punching bag on the other 😂😂😂😂😂😂😂
131,Shape of you Ed Sheeran ❤❤❤❤❤❤❤❤❤,Shape of you Ed Sheeran
132,Legends watching in 2025😂😂😂,Legends watching in 2025 😂😂😂
138,❤❤❤ the best song i ever hear,the best song i ever hear
139,🌹✝️ 🇬🇧 LIAM PAYNE AMEN
REST IN PEACE AMEN,LIAM PAYNE AMEN
REST IN PEACE AMEN 🌹🇬🇧
148,❤,❤
149,❤❤❤❤😊,❤❤❤❤😊
155,Anyone here in Oct 19, 2024 ❤️❤️❤️,Anyone here in Oct 19 2024
157,Nice bro 💋💋💋💋🥳,Nice bro 💋💋💋💋🥳
161,Who just likes scrolling through comments for fun?❤🎉,Who just likes scrolling through comments for fun 🎉
162,2056年も見てるやついる？,There are people watching in 2056 too.
164,これを見た人もしくは翻訳した人は高評価を👍️,If you saw this or translated it, please rate it highly. 👍
165,Anyone here from Nepal 🇳🇵❣️,Anyone here from Nepal  🇳🇵
169,Go of deinds groute 😂 october 2024 ok Helô gronteder,Go of deinds groute  october 2024 ok Helô gronteder 😂
173,かっこよすぎたろ,Too cool.
182,Anyone's 2025😅😊,Anyones 2025 😅😊
184,Who's listening today??👀🔻🔹,Whos listening today 👀🔻🔹
185,🔹It's 2024 ...Every time someone likes my comment I'll watch it again...this timeless masterpiece.👀🔻,Its 2024 Every time someone likes my comment Ill watch it againthis timeless masterpiece 🔹👀🔻
196,Real madrid 2017❤😢,Real madrid 2017 😢
198,❤,❤
200,Everyone is from October 2024?  😂
👇,Everyone is from October 2024  
 😂👇
204,Anyone in November 2024😅❤,Anyone in November 2024 😅
205,🌚💀,🌚💀
207,❤️🌼🥀🌼❤️,❤️🌼🥀🌼❤️
210,63億回視聴ってまじ,6.3 billion views, seriously?
213,Who is here in 2026 ❤❤😂😂😂,Who is here in 2026  😂😂😂
214,❤❤❤,❤❤❤
216,Where are the people listening to this song even in 2100 if they are alive?😂❤,Where are the people listening to this song even in 2100 if they are alive 😂
218,2024 and come on be my baby come on is still ringing in my head😻😻😻,2024 and come on be my baby come on is still ringing in my head 😻😻😻
220,If anyone is reading this commeat then I pray to God that God gives long life to their parents 🙏,If anyone is reading this commeat then I pray to God that God gives long life to their parents  🙏
223,Anyone here in 2025.....😊❤,Anyone here in 2025 😊
224,18 October 2024 Attendance here
👇,18 October 2024 Attendance here
 👇
230,Anyone  here in October 2024😂,Anyone  here in October 2024 😂
231,شي مغريبي😂❤,Something Moroccan 😂
237,Who's here 2025? Come on now legends, show yourself 🗣️🗣️🗣️🔥🔥🔥💯💯💯,Whos here 2025 Come on now legends show yourself  🗣🗣🗣🔥🔥🔥💯💯💯
248,My Ringtone❤,My Ringtone
250,Love you more 😘,Love you more 😘
254,7.3 Billion for the next year ❤,73 Billion for the next year
255,Anyone 😊😊,Anyone 😊😊
257,Adelo Ade😂☄️,Adelo Ade 😂
259,Lol😂,Lol 😂
260,7 billions in next 2 years ❤,7 billions in next 2 years
261,أنا و عمرو دياب 😅😊بس القلب بيدق بيقول عمرو دياب انا كوثر بردان 😅😊,I and Amr Diab but the heart beats says Amr Diab I'm Kawthar Bardan 😅😊😅😊
263,Anybody from 2029😊😊,Anybody from 2029 😊😊
266,🇨🇳🇨🇳🇨🇳🇨🇳,🇨🇳🇨🇳🇨🇳🇨🇳
267,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
270,Eu sempre amarei essa música!❤,I will always love this song
271,Les chansons sont Magnifiques mais LUI il est simple et surtout sans préjudice ❤ 👍👏👏👏🫡🫡,The songs are magnificent but HE is simple and above all without prejudice 👍👏👏👏🫡🫡
272,Liking the after hopes for better beat remakes❤❤❤❤🤢🤢🤢😔💚💚💚💚,Liking the after hopes for better beat remakes 🤢🤢🤢😔💚💚💚💚
276,Schöne 😊❤,beautiful 😊
280,🙄,🙄
283,https://youtube.com/shorts/JRbJNh3IyWU?si=O8Uh2VGQlkbOEI54
FabArtsStudioByRuta ✨,httpsyoutubecomshortsJRbJNh3IyWUsiO8Uh2VGQlkbOEI54
FabArtsStudioByRuta
285,😂😂🎉,😂😂🎉
289,cool music bro😊,cool music bro 😊
296,😂😂😂😂❤❤❤❤❤❤❤😮,😂😂😂😂❤❤❤❤❤❤❤😮
298,Still anyone in 2050😅,Still anyone in 2050 😅
300,Hiwjlebheie eejekpe😅,Hiwjlebheie eejekpe 😅
302,18 October 2024 let's see how many legends watching this piecefull song 🙏🙏🙏,18 October 2024 lets see how many legends watching this piecefull song  🙏🙏🙏
304,@jhaber.2024.. I am today watching the song🎉❤,jhaber2024 I am today watching the song 🎉
309,Who is listening in 2999😂,Who is listening in 2999 😂
316,Pin pls📌?,Pin pls 📌
318,LOVE YOU ❤,LOVE YOU
319,Yes I am❤,Yes I am
322,もう7年前なんや。まだ聴いてる人いる？　追記　日本人いる？　またまた追記　日本人いてほしいな,It's been 7 years already, but there are still people listening. P.S. There are Japanese people. P.S. I wish there were Japanese people.
323,Who is watching this video in 2026?❤,Who is watching this video in 2026
329,Who are after seeing yet 😅,Who are after seeing yet  😅
330,🕊️,🕊️
331,Yes alavyo baby❤❤❤❤❤😊❤❤❤❤❤❤❤❤❤❤❤,Yes alavyo baby 😊
333,Anyone October??😃,Anyone October 😃
335,OCTOBER 17, 2024 listening to these masterpiece ✨🤍,OCTOBER 17 2024 listening to these masterpiece  🤍
337,一番大好きな曲、やっぱりいつ聴いてもやめられませんね,This is my favorite song. I can't stop listening to it.
341,I remember that day when I was this song 😢😢😢😢 ❤❤❤,I remember that day when I was this song   😢😢😢😢
344,That 4:06 scene😂😂,That 406 scene 😂😂
346,Ed Sheeran Pemilik Klub Ipswich Town 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Ed Sheeran Pemilik Klub Ipswich Town  🏴󠁧󠁢󠁥󠁮󠁧󠁿
348,Thousand of years passed but the song is still in your mind❤❤❤,Thousand of years passed but the song is still in your mind
349,❤ today I'm waiting,today Im waiting
350,Let's Make Song Popular🎉🎉🎉🎉🎉🎊🎊🎊🎊💯💯💯💯💯🗣️🗣️🗣️🗣️🗣️🗣️🗣️🔥🔥🔥🔥🔥🔥🔥,Lets Make Song Popular 🎉🎉🎉🎉🎉🎊🎊🎊🎊💯💯💯💯💯🗣🗣🗣🗣🗣🗣🗣🔥🔥🔥🔥🔥🔥🔥
353,Who’s in 2024?         👇,Whos in 2024          👇
354,I will study 12hr from 1subs 🎉🎉🎉,I will study 12hr from 1subs  🎉🎉🎉
356,MR BEAST -31 CRORE SUB (0% BACKGROUND MUSIC🎶)🆚 ED SHEERAN -5 CRORE,MR BEAST 31 CRORE SUB 0 BACKGROUND MUSIC ED SHEERAN 5 CRORE 🎶🆚
359,2024 here 🎉😊,2024 here 🎉😊
361,Anyone Listening 🎵 October (2024)

👎,Anyone Listening  October 2024

 🎵👎
369,2024 😂😂,2024 😂😂
