row_number,original_comment,translated_comment
4,Meeeee❤,Meeee
7,Música mais engraçada do mundo parabéns🎉,Funniest song in the world congratulations 🎉
8,0:17ชอบท่อนนี้ 💓,017 likes to give money. 💓
9,❤fggttrtytyyyyyyyyutyuuttgghhhuuguggghuguiijjuiuuuuuc. Vhgghhhhih
Gggtyuyuiiuiuuuuu u,fggttrtytyyyyyyyutyuuttgghhhhuuguggghuguiijjuiuuuuuc Vhgghhhhih
Gggtyuyuiiuuuuuu u
10,Who is this after APT?😂😂,Who is this after APT 😂😂
12,Hay here🎉,Hay here 🎉
14,LOVEYO❤,LOVEYO
18,Who is watching at 2024😂,Who is watching at 2024 😂
20,❤❤,❤❤
21,Sopratutto il ritornello❤,Especially the chorus
22,Bellissima la amo❤😂,Beautiful I love it 😂
24,Years later and this still hits hard Bruno forever a legend 🤌🏾,Years later and this still hits hard Bruno forever a legend  🤌🏾
25,Please go to czech republick and make concert here🙏,Please go to czech republick and make concert here 🙏
29,Came here after APT. Bruno is legend 🎉🎉🎉,Came here after APT Bruno is legend 🎉🎉🎉
30,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😅🤣🤣🤣🤣🤣🤣🤣🤣😅😅😂🤣,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😅🤣🤣🤣🤣🤣🤣🤣🤣😅😅😂🤣
33,Me



✓,Me
41,One line one love bb up t you eegk fuck u up 🎉❤😂😊,One line one love bb up t you eegk fuck u up  🎉😂😊
43,Bruno is the GOAT OF COLLABS 😎😎😍,Bruno is the GOAT OF COLLABS  😎😎😍
53,Essa voz rouca ❤❤❤❤,That hoarse voice
54,❤❤❤❤,❤❤❤❤
56,イギリスは白人でやれ。,Britain should be white
58,やれるかやれないか、それだけ。,It's just a matter of whether you can do it or not
59,黒人街をやる時はこれでは遅れる。側だけ。白人には絶対にやれない。,When we do this in the black neighborhood, it's always the other way around. White people can never do this.
61,👏🏽👏🏽👏🏽👏🏽❤️🤩😍🎶🎶🎶👏🏽👏🏽👏🏽,👏🏽👏🏽👏🏽👏🏽❤️🤩😍🎶🎶🎶👏🏽👏🏽👏🏽
65,La mejor canción súper emotiva 🎉❤,The best super emotional song 🎉
70,❤love this,love this
75,❤❤🎉🎉,❤❤🎉🎉
77,SÃO BERNARDO DO CAMPO ESCOLA GAPI GABRIELLE ❤❤❤❤
MARIA EDUARDA,SAINT BERNARD OF THE COUNTRYSIDE GAPI GABRIELLE SCHOOL

MARIA EDUARDA
78,❤❤❤❤❤❤❤❤,❤❤❤❤❤❤❤❤
79,😂😂😂,😂😂😂
80,WAIT THIS WAS RELEASED ON MY BIRTHDAY?!!? BRO???! AM I SEEING RIGHT 😭?!,WAIT THIS WAS RELEASED ON MY BIRTHDAY BRO AM I SEEING RIGHT  😭
82,מי כאן אחרי חיסול סינאוור 🎉🎉🎉🎉,Who is here after the elimination of Sinavur? 🎉🎉🎉🎉
84,Apt ❤❤,Apt
86,I love Bruno Mars❤❤❤❤❤❤,I love Bruno Mars
88,2024❤👍🏿 4:30,2024❤👍🏿 4:30
89,2024 ❤,2024 ❤
95,November , anyone? 😅,November  anyone  😅
99,Cool Bruno.  Mars.  
Marc.  So cool.  😎😎😎😎😀😀😀😀😀🤩🤩🤩🤩🤩🤩🤩🤩🤩🥰🥰🥰🥰🥰🥰
From Tanya Canada 🇨🇦,Cool Bruno  Mars  
Marc  So cool  
From Tanya Canada 😎😎😎😎😀😀😀😀😀🤩🤩🤩🤩🤩🤩🤩🤩🤩🥰🥰🥰🥰🥰🥰🇨🇦
101,I'm IN RIGHT-NOW IN OCTOBER-2024 ❤❤❤❤❤❤❤❤,Im IN RIGHTNOW IN OCTOBER2024
102,5、5.3billion…
5    .       3     b  i  l  l  i  o  n  ？　！,553billion
5           3     b  i  l  l  i  o  n
104,I didn't listen to this song in a few years now. Came back to listen again after APT 😅,I didnt listen to this song in a few years now Came back to listen again after APT  😅
108,진짜 목소리 보물이네,Your voice is truly a treasure
111,who is this after APT? 😊,who is this after APT  😊
112,❤❤,❤❤
120,GOTTA KISS MYSELF, IM SOAP READY 🧼 💋,GOTTA KISS MYSELF IM SOAP READY 🧼💋
122,APT APT APT APT APT 😅,APT APT APT APT APT 😅
124,Es neta? Está canción es de bruno mars 😭 amooo,It's true this song is by bruno mars I love it 😭
126,Im here after APT 😅,Im here after APT 😅
129,Por Rose vuelvo a reproducir a Bruno Mars!! Olvidé que tenía excelente música! ❤,By Rose I'm playing Bruno Mars again I forgot he had great music
130,Eu Sou Sua Fã Mark Ronson Bruno Mars Eu Amor Música Uptown Funk Falta Você ia Brasil 🎤🎧🎼🎙🎶🎵,I'm Your Fan Mark Ronson Bruno Mars I Love Music Uptown Funk Missing You Brazil 🎤🎧🎼🎙🎶🎵
131,1:58 I love you Mark Ronson. 3.6B views. Come on now...💥,158 I love you Mark Ronson 36B views Come on now 💥
132,Like a Jackson 😎,Like a Jackson 😎
134,Anyone's 2025😅😊,Anyones 2025 😅😊
141,November 2035 anyone?😅,November 2035 anyone 😅
143,Is anyone from APT here? 😂,Is anyone from APT here  😂
144,Here after APT😭,Here after APT 😭
150,¿2024? 🕺💥,¿2024? 🕺💥
151,Did you know Despacito has 8 billion views, more than this world’s 🌍 population,Did you know Despacito has 8 billion views more than this worlds  population 🌍
152,丼20杯って言ってるようにしか聞こえんw,It sounds like he's saying 20 bowls of rice lol
154,😅,😅
155,Who's still listening to this❤,Whos still listening to this
157,Anyone from INDIA 🇮🇳  ?,Anyone from INDIA    🇮🇳
162,WoW❤❤   what  the  okay. Good,WoW   what  the  okay Good
165,2024🎉,2024🎉
169,❤Rip Amy. Good girls lesbians master bait beat.❤😂,Rip Amy Good girls lesbians master bait beat 😂
171,😂,😂
173,Where mark it just Bruno Mars do it I guess it his song now 😂😂😮,Where mark it just Bruno Mars do it I guess it his song now  😂😂😮
181,😎🥸🤖,😎🥸🤖
182,언제나 항상 건행하세요,Always, always be safe
185,Hollywood trom Grety tonw na brub tunm yui wenmy 😊,Hollywood trom Grety tonw na brub tunm yui wenmy 😊
192,Hjjcjjiàuufjfujifhjfiuuuiguiioooiuiic🤔💭💙😙😙😙😙😙😙😙💬💬💙👍💙💙💙💙💙💙💙,Hjjcjjiàuufjfujifhjfiuuuiguiioooiuiic 🤔💭💙😙😙😙😙😙😙😙💬💬💙👍💙💙💙💙💙💙💙
193,Bruno Mars sing song with our ROSIEEE<<♡>>,Bruno Mars sing song with our ROSIEEE
195,where does mark come in?😭,where does mark come in 😭
196,I love this song so much😊,I love this song so much 😊
197,“This is not the end this is not end” hits different now 💔🕊️,This is not the end this is not end hits different now  💔🕊
200,😂mark ronson trewwety ok trim hewty 😂😂 trimw VW keke oh tretreyw umriwt wwety,mark ronson trewwety ok trim hewty  trimw VW keke oh tretreyw umriwt wwety 😂😂😂
202,Just a little morning motivation 🎉,Just a little morning motivation  🎉
207,Come here for rosé and Bruno mars ❤,Come here for rosé and Bruno mars
208,Good morning Bruno mars❤❤❤❤,Good morning Bruno mars
210,嗨,嗨
215,😊Yeah!,Yeah 😊
218,😂🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🫵👎🏻,😂🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🫵👎🏻
223,Comentario spanish Oh yeah bruno mars good🎉😂,Comentario spanish Oh yeah bruno mars good 🎉😂
225,I used to like Bruno in this era and I still kinda do😂,I used to like Bruno in this era and I still kinda do 😂
230,Anyone Today 😂 !?,Anyone Today 😂
233,Yo soy  soltera y  sin compormiso❤❤,I am single and unattached
239,❤❤,❤❤
242,Ladies watch out Brono is on the loose!😍😘🥰,Ladies watch out Brono is on the loose 😍😘🥰
243,Who came to watch it again in 2024?👋👋,Who came to watch it again in 2024 👋👋
247,Bruno no Brasil 🇧🇷🎉,Bruno in Brazil 🇧🇷🎉
