row_number,original_comment,translated_comment
4,Please pray my dad . He is no more. 🙏,Please pray my dad  He is no more  🙏
9,🙏🙏,🙏🙏
11,Jay shree Ram 🙏🙏🙏🙏🙏🌹🌹🌹🌹🌹🌹🌺🌺🌺🌺🌺🚩🚩🚩🚩🚩🚩,Jay shree Ram  🙏🙏🙏🙏🙏🌹🌹🌹🌹🌹🌹🌺🌺🌺🌺🌺🚩🚩🚩🚩🚩🚩
12,Jay Shree Siya ram 🙏 , Jay hanuman 🙏🙏,Jay Shree Siya Ram Jay Hanuman 🙏🙏🙏
13,Joy joy Hanuman 🍫❤️❤️🙏🍫🍫🌹❤️❤️🙏🙏🙏🙏,Joy joy Hanuman 🍫🙏🍫🍫🌹🙏🙏🙏🙏
15,Jay HANUMAN🙏🙏,Jay HANUMAN 🙏🙏
16,11:40 pe kon kon sun Raha hai ❤❤,1140 pe kon kon sun Raha hai
17,Jai Shree Ram 🙏🏻,Jai Shree Ram  🙏🏻
23,Jai Shree Ram Lakshman janki Jai bolo Shree Hanuman ji ki Shubh Raviwar 👏🌹👏👏🌹,Hail Lord Ram, Laxman Janki, say Hail Lord Hanuman, Good Sunday 👏🌹👏👏🌹
25,Jai Shree Ram 🙏,Jai Shree Ram  🙏
27,🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
29,Jai Shree Ram 🙏,Jai Shree Ram  🙏
30,🙏🙏🙏🙏,🙏🙏🙏🙏
31,Jai Shree Ram 🙏🏻,Jai Shree Ram  🙏🏻
38,हणमाण की जय🙏🙏🙏,victory to Hanuman 🙏🙏🙏
39,𝙹𝚊𝚢 𝚜𝚑𝚛𝚎𝚎 𝚑𝚊𝚗𝚞𝚖𝚊𝚗 ❤❤❤❤❤,𝙹𝚊𝚢 𝚜𝚑𝚛𝚎𝚎 𝚑𝚊𝚗𝚞𝚖𝚊𝚗 ❤❤❤❤❤
40,🙏🙏🌹Jai Bajrangbali Kripa🌹🙏🙏,Hail Bajrangbali's grace 🙏🙏🌹🌹🙏🙏
41,🙏🙏🌹Jai Shri Ram Kripa🌹🙏🙏,Hail Lord Ram's blessings 🙏🙏🌹🌹🙏🙏
42,🙏🙏🌹जय हनुमान जी कृपा🌹🙏🙏,jai haman j cup 🙏🙏🌹🌹🙏🙏
43,🙏🙏🌹जय श्री राम कृपा🌹🙏🙏,Jay Shara Rum Cup 🙏🙏🌹🌹🙏🙏
48,Jai shree ram 🙏🚩🚩🚩,Jai shree ram  🙏🚩🚩🚩
49,Jada se jada  comment kare sab ❤ Jay shri ram❤,Everyone please comment as much as possible, Jai Shri Ram
50,Jay shri ram❤,Jay shri ram
51,Jay Shree Ram Jay Shree Ram❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉,Jay Shree Ram Jay Shree Ram 🎉🎉🎉🎉🎉🎉🎉
52,🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
53,🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
54,Jai shree Ram 🙏🙏,Jai shree Ram  🙏🙏
55,Jai shree Ram 🙏 Jai Hanuman Ji 🙏,Jai Shree Ram Jai Hanuman Ji 🙏🙏
56,❤,❤
60,Jai shiri ram 🙏🙏🙏,Jai Shri Ram 🙏🙏🙏
61,जय श्री राम जय सीता राम किरपा करो इस संकट मैं प्रभु 🙏🙏,Jai Shara Ram Jai Sat Ram, please help me in this trouble 🙏🙏
62,Jay shree ram 🙏❤Jay Bajrang Bali Maharaj ki Jay ho 🙏❤️sab per apni Kripa banaye rakhna Maharaj 🙏🙏,Hail Shree Ram, Hail Bajrang Bali Maharaj, may you keep your blessings on everyone, Maharaj 🙏🙏🙏🙏
67,Bolo Jay shree ram ❤❤❤❤❤,Bolo Jay shree ram
74,Jay shree ram🙏 har har mahadev 😊jay bajarang bali all God ki jay,Hail Shree Ram, Hail Mahadev, Hail Bajarang Bali, all God's victory 🙏😊
78,Jai Shree Ram 🙏❤🙏 20th October,Jai Shree Ram  20th October 🙏🙏
79,❤❤❤,❤❤❤
81,Jai Shree Ram 🙏🏻 Jai Hanuman 🙏🏻,Hail Lord Rama, Hail Hanuman 🙏🏻🙏🏻
82,Jay shree Ram ji ki jay ho 🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏,Jay shree Ram ji ki jay ho 🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏
83,Jay bajrangbali🙏,Jay bajrangbali 🙏
84,Jai Shree Ram 🙏🏻,Jai Shree Ram  🙏🏻
85,Jai Hanuman ji 🙏🙏🥰🥰,Hail Hanuman ji 🙏🙏🥰🥰
86,Jai bajrang bali 🙏❤️,Hail Bajrangbali 🙏
87,Jai shree Ram ❤❤❤❤❤❤,Jai shree Ram
88,400 cr plus views.❤❤❤ Jay shree Ram 🚩🚩🚩,400 cr plus views Jay shree Ram  🚩🚩🚩
90,👍🙏,👍🙏
92,जय श्री राम ❤ गुलशन कुमार जी अमर रहें ! 🚩,Jai Shar Ram Galshan Qamar J Amar Rahe 🚩
93,Jai siya Ram 🙏,Jai Siya Ram 🙏
94,जय श्री राम जी 🙏 जय हनुमान जी 🙏🙏🌺🌿🌿🌺🙏🧿,jai sharam j jai hanuman j 🙏🙏🙏🌺🌿🌿🌺🙏🧿
95,❤,❤
96,सभी बोलो जय जय श्री राम🚩🚩🚩🚩🚩,all the strength jai jai sharam 🚩🚩🚩🚩🚩
98,1 नवंबर मे कोन कोन भक्त सुन रहा है बोलो जय श्रीराम ❤🎉,On 1st November who is doing devotional work, Bal Jai Sharam 🎉
99,Jai shree Ram ji Jai bajrang bali ki jai mata sita ram ram ram ram ram ram ram ram ram ❤❤❤❤❤❤,Hail Lord Rama, Hail Bajrang Bali, Hail mother Sita, Ram Ram Ram Ram Ram Ram Ram Ram Ram Ram
101,Jai Shree Ram❤❤❤,Jai Shree Ram
102,21 अक्टूबर को कौन कौन सुन रहा है😊😊,I am watching the news of 21st October 😊😊
103,Jai shree Ram ji Jai bajrang bali ki jai mata sita ram ram ram ram ❤❤❤❤❤,Hail Lord Rama, Hail Bajrang Bali, mother Sita, Ram Ram Ram Ram
105,Jai sri ram 🙏🙏🙏,Jai Sri Ram 🙏🙏🙏
106,Jai Mata di..❤
Jai Shree Ram g..❤
Jai Hanuman g..❤,Jai Mata di
Jai Shree Ram g
Jai Hanuman g
108,❤❤❤❤❤,❤❤❤❤❤
109,❤🙏🧿,❤🙏🧿
110,Jai shree Ram ji jai ho Hanuman ji ❤❤❤❤❤,Hail Lord Ram, hail Hanuman
112,Justice for sidhu moose wala ⚖️😢,Justice for sidhu moose wala  😢
113,Jai  shree ram❤ jai balaji mahraj ❤,Hail Lord Rama, Hail Balaji Maharaj
114,🙏,🙏
121,Jai Shree Ram❤❤
Jai Shree RamDutta,Jai Shree Ram
Jai Shree RamDutta
122,Jay shree Ram ❤,Jay shree Ram
123,😊🙏🐵🌹🌖🌗🌑🌒🌓🌔🌘🌎🌍🌏,😊🙏🐵🌹🌖🌗🌑🌒🌓🌔🌘🌎🌍🌏
126,❤❤❤❤,❤❤❤❤
127,❤❤❤❤❤❤,❤❤❤❤❤❤
128,❤❤❤❤,❤❤❤❤
129,Jai shree ram 🙏🙏🙏🙏🙏,Jai shree ram  🙏🙏🙏🙏🙏
130,Jai shree Ram ❤❤🙏🙏🙏,Jai shree Ram  🙏🙏🙏
131,Jai Shree Ram Jai bajarang Bali ki jai🙏🙏🙏🙏🙏🙏🙏🙏🙏🌺🌺🌺🌷🌸💮,Jai Shree Ram Jai market in Bali 🙏🙏🙏🙏🙏🙏🙏🙏🙏🌺🌺🌺🌷🌸💮
134,❤,❤
135,जय श्री राम🙏🙏🌺🌺,Jai Shar Ram 🙏🙏🌺🌺
136,❤❤❤❤❤❤❤❤🎉😊😊😊😊😊😊,❤❤❤❤❤❤❤❤🎉😊😊😊😊😊😊
139,Jai Shree Ram ♥️ Jai Hanuman Ji Maharaj ♥️,Hail Lord Rama, Hail Hanuman Ji Maharaj
141,2024❤,2024❤
143,🗣Jai Hanuman. Jo jo Hanuman ji ko mantehe like kar na is comment ma🙏🙏🙏🙏,Jai Hanuman, those who believe in Hanuman ji please like this in the comment. 🗣🙏🙏🙏🙏
144,Joy sree ram ❤,Joy sree ram
147,Jay Shree Ram❤,Jay Shree Ram
148,Jay Shree Ram❤,Jay Shree Ram
149,Jay Shree Ram❤,Jay Shree Ram
150,जनवरी 2025 मे कोन कोन भक्त सुन रहा है बोलो जय श्रीराम ❤🎉,Which devotee is I doing in January 2025? Bal Jai Shararam 🎉
151,20  October ko konsa bhagat Hanuman chalisa sun raha hai jai shri ram ji. 🙏🙏🙏🙏🙏🙏🙏,Which devotee is listening to Hanuman Chalisa on 20 October, Jai Shri Ram Ji 🙏🙏🙏🙏🙏🙏🙏
152,Jai Shree Ram❤❤❤,Jai Shree Ram
154,🙏Om Jai Shree Ram Ji 🙏,Om Jai Shree Ram Ji 🙏🙏
155,🙏Om Jai Shree Hanuman Ji Maharaj Ji 🙏,Om Jai Shree Hanuman Ji Maharaj Ji 🙏🙏
156,Jai shree ram 🙏 🚩,Jai shree ram   🙏🚩
159,Kon kon 2024 me dehk rahe hai😂,Who are you waiting for in 2024? 😂
161,❤❤,❤❤
163,Bhai stree 2 movie dekh ke aaya hu dar ka mahol hai😢,Brother, I have come after watching the movie Stree 2, it is a scary atmosphere 😢
165,❤❤❤❤❤❤❤❤❤❤❤,❤❤❤❤❤❤❤❤❤❤❤
168,Jai shree ram 🙏🙏🙏,Jai shree ram  🙏🙏🙏
171,20. October ko sun raha hun 🚩🚩🚩🚩🙏🙏🙏🙏🙏,I was listening to October 20th 🚩🚩🚩🚩🙏🙏🙏🙏🙏
173,Rat 8. 45 baje sun raha hun🙏🙏🙏🙏🚩🚩🚩🚩🍊🥭🍑🍋🍓🍍🍐🍈🍎🍏🌺🌺🌺🌺🌺🌹🌹🌹🌹 Jay shree ram,It is 8:45 pm, the sun is shining. Jai Shree Ram. 🙏🙏🙏🙏🚩🚩🚩🚩🍊🥭🍑🍋🍓🍍🍐🍈🍎🍏🌺🌺🌺🌺🌺🌹🌹🌹🌹
174,Jay shree ram ❤🙏🙏🙏🙏🙏,Jay shree ram 🙏🙏🙏🙏🙏
176,Jay shree ram🚩🚩🚩🚩🚩🙏🙏🙏🙏🌹🌹🌹🌹🌺🌺🌺🌺🍏🍏🍏🍎🍎🍎🍊🍊🍊🥭🥭🍑🍑🍋🍋🌻🌻🍓🍓🍍🍍🍐🍈Jay shree ram,Jay shree ramJay shree ram 🚩🚩🚩🚩🚩🙏🙏🙏🙏🌹🌹🌹🌹🌺🌺🌺🌺🍏🍏🍏🍎🍎🍎🍊🍊🍊🥭🥭🍑🍑🍋🍋🌻🌻🍓🍓🍍🍍🍐🍈
178,Kabhi bhi 
Kahi bhi 
Suno charo taraf shanti ho jati hai ❤❤,Anytime
Anytime
Listen, there is peace all around
180,Aja 2024 -20 October ko kon kon sun rahe ❤❤ bolo jai shree ram ❤❤❤ Jay shree hanuman ❤❤❤,May the sun rise on 20 October 2024, may the sun rise on 20 October
181,Jai shree Ram ji Jai Hanuman ji ♥️🙏,Hail Lord Rama, Hail Hanuman 🙏
182,Jai Shree Rama 🙏🌺🚩 1449 Save 🙏,Jai Shree Rama  1449 Save  🙏🌺🚩🙏
183,Jay  Hanuman jee❤❤❤❤❤,Jay  Hanuman jee
184,Jai shree Ram🔔❤🌹,Jai shree Ram 🔔🌹
186,Jai agree Ram🚩🚩,Jai agree Ram 🚩🚩
188,Kon kon daily sun rahe hay
Bolo,Joy Sree Ram
❤❤❤❤❤❤❤
🙏🙏🙏🙏🙏🙏🙏,Who is watching the sun daily
BoloJoy Sree Ram 🙏🙏🙏🙏🙏🙏🙏
189,जय श्री राम 🧿❤,Jai Shar Ram 🧿
190,जय बजरंगबली जी 🧿❤,Jay Bajragbal J 🧿
191,Kon kon 2024 me sun raha hai 🙏🙏,Who is going to be the sun in 2024 🙏🙏
193,🙏🙏🙏,🙏🙏🙏
194,Jai shree Ram Jai Hanuman ❤,Jai Shree Ram Jai Hanuman
195,🙏🌺,🙏🌺
196,💐🙏💐,💐🙏💐
197,Jay shree ram ❤❤❤❤,Jay shree ram
199,Jai Shree Hanuman ❤ (394),Jai Shree Hanuman  394
201,Jai shree ram❤,Jai shree ram
206,🙏🏻🚩जय श्री सीताराम 🚩🙏🏻,Jay Shar Satram 🙏🏻🚩🚩🙏🏻
207,🙏🏻🚩जय श्री सीताराम 🚩🙏🏻,Jay Shar Satram 🙏🏻🚩🚩🙏🏻
208,🙏🏻🚩जय श्री सीताराम 🚩🙏🏻,Jay Shar Satram 🙏🏻🚩🚩🙏🏻
209,🙏🏻🚩जय श्री सीताराम 🚩🙏🏻,Jay Shar Satram 🙏🏻🚩🚩🙏🏻
210,🙏🏻🚩जय श्री सीताराम 🚩🙏🏻,Jay Shar Satram 🙏🏻🚩🚩🙏🏻
213,Jay shree ram ❤❤❤,Jay shree ram
215,Jai Siya ram ❤❤,Jai Siya Ram
217,Jai shree Ram ❤❤❤❤,Jai shree Ram
219,🚩🚩,🚩🚩
220,Jai bajrangbali ki 💪💪💪 

20 november 2024 ko kaun kaun sun raha hai,Jai Bajrangbali 

Who is the sun on 20 November 2024 💪💪💪
221,जय बजरंगबली जी 🧿❤,Jay Bajragbal J 🧿
222,जय श्री राम 🧿❤,Jai Shar Ram 🧿
223,Jai shree Ram ❤❤,Jai shree Ram
224,All In One ❤❤❤,All In One
225,🙏🙏🙏🙏🙏🌺🌺🌺🌺🌺Jai Bajrangbali🌺🌺🌺🌺🌺🙏🙏🙏🙏🙏,Jai Bajrangbali 🙏🙏🙏🙏🙏🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🙏🙏🙏🙏🙏
226,Jai siya Ram 🌹🌹,Jai Siya Ram 🌹🌹
228,Jai shree ram ❤,Jai shree ram
