row_number,original_comment,translated_comment
3,Drop a like if you think  these is the best World Cup song ever❤,Drop a like if you think  these is the best World Cup song ever
6,Anyone in 2025?🌝,Anyone in 2025 🌝
7,Hellos evrey bady around worled waka wak😂 samnamm😂🎉 hamada from Egypt ❤🎉,Hellos evrey bady around worled waka wak samnamm hamada from Egypt  😂😂🎉🎉
8,2024 we go❤❤,2024 we go
9,🎉🎉🎉🎉🎉😊,🎉🎉🎉🎉🎉😊
10,2024 October 😅😅😅,2024 October  😅😅😅
11,I was 3 years old when this happened 🙂,I was 3 years old when this happened  🙂
12,4 billion people watched this video.... 😃❤️‍🔥 I came a year ago 2024,4 billion people watched this video  I came a year ago 2024 😃🔥
17,👱‍♀️
🙏
👘,👱‍♀️
🙏
👘
20,who is seeing 2024❤❤???,who is seeing 2024
21,PiLzz_Saport.আমি ১জন Free fire palaver🌹🥀🙏🙏🙏,PiLzz_Saportআম ১জন Free fire palaver 🌹🥀🙏🙏🙏
23,Im from Slovakia ❤❤❤❤❤❤❤❤,Im from Slovakia
27,2:22 ❤,2:22 ❤
28,I'm from nepal❤🇳🇵 and you🎉guys😊,Im from nepal and youguys 🇳🇵🎉😊
29,Who in 2024?? 1 likes ✍️🙏,Who in 2024 1 likes 🙏
30,وووواو😂🎉,Wow! 😂🎉
36,Golden oldy, question tho; where do depresions come frome? ❤,Golden oldy question tho where do depresions come frome
37,The lyrics ❤ https://youtube.com/@sambademe-l8m?si=KIZdb4eo8xqy2mLV ❤,The lyrics  httpsyoutubecomsambademel8msiKIZdb4eo8xqy2mLV
39,J’adore ❤,Jadore
42,I love you shakira from lebanon🇱🇧❤️ i love your songs very much❤ i wish i see you in real life,I love you shakira from lebanon i love your songs very much i wish i see you in real life 🇱🇧
43,❤Shabash 😊,Shabash 😊
44,❤Shabash,Shabash
45,Who is here in October 2024 🎉😂😂,Who is here in October 2024  🎉😂😂
46,Legend watching in 2024😢,Legend watching in 2024 😢
47,20 oct😂,20 oct 😂
48,Somali colocab❤😅,Somali Colocab 😅
49,Waka waka ee🎉🎉🎉🎉,Wow wow oh 🎉🎉🎉🎉
50,J'ai compris mais 😭😭,I understood but 😭😭
51,My favourite song 😍🥰🥰,My favourite song  😍🥰🥰
52,Hai ❤❤❤,Two
54,from India ❤,from India
57,🎉.  🎉,🎉.  🎉
58,❤,❤
61,😊😊2024,😊😊2024
65,All my god❤❤❤❤q,All my godq
67,Cool 🎉🎉😊😊,Cool  🎉🎉😊😊
70,2:08 KING OF FOOTBALL ⚽👑,208 KING OF FOOTBALL 👑
71,❤❤❤❤❤❤,❤❤❤❤❤❤
73,❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉😊😊😊😊,❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉😊😊😊😊
75,I love this music  I miss his films 😭😭😭😭😔😔😔😔,I love this music  I miss his films  😭😭😭😭😔😔😔😔
76,The fantastic 😍😍😍 woman,The fantastic  woman 😍😍😍
77,Waka waka😂,Carriage 😂
78,The good times i wish i could go back just for a day😢,The good times i wish i could go back just for a day 😢
79,2024 anyone?😂,2024 anyone 😂
80,Şakira ablası kızım bu şarkıyı çok seviyor😊🎉,My daughter, Shakira's sister, loves this song very much. 😊🎉
84,Anyone in October 2024 🎉🎉🎉🎉😢,Anyone in October 2024  🎉🎉🎉🎉😢
85,Favourite world cup 2010 ❤,Favourite world cup 2010
