row_number,original_comment,translated_comment
2,October audience Here' ❤,October audience Here
4,November 2046..🎉,November 2046 🎉
5,Liam Payne!🤍🥹🇧🇷,Liam Payne 🤍🥹🇧🇷
6,Ilove  this  music ❤❤❤❤❤,Ilove  this  music
10,20/10/2024❤❤,20/10/2024❤❤
12,iLove dis  song❤,iLove dis  song
14,When I heard this song, I was moved to tears😢,When I heard this song I was moved to tears 😢
15,Today anyone❤,Today anyone
18,Listening to this song calms my mind❤,Listening to this song calms my mind
20,,2024😢,,2024😢
22,So sad 😢😢😢😢,So sad 😢😢😢😢
23,No one is my friend 😂😂😂,No one is my friend  😂😂😂
24,มีใครยังฟังบ้าง(2024)🎉,Who is Yong Fong Bang 2024? 🎉
25,bellissima😢😢 se,beautiful if 😢😢
29,1 jan, 2025😅,1 jan 2025 😅
31,Bring Paul walker for AI technology please 🙏 next Fast and Furious 12🎉🎉🎉🎉,Bring Paul walker for AI technology please  next Fast and Furious 12 🙏🎉🎉🎉🎉
35,24❤️,24❤️
36,2024😢,2024😢
38,ЖАНМММ СКУЧАЮ ЕГО ПОЛ УОКЕР ЕЩЕ ОН БЫЛ ТАКИМ МОЛОДЫМ💔💔😭😭,JEANMMM MISS HIM PAUL WALKER HE WAS SO YOUNG 💔💔😭😭
39,I'm more old skool vibes myself but this tune is an absolute classic love it ❤,Im more old skool vibes myself but this tune is an absolute classic love it
40,Amazing 🎉🎉,Amazing 🎉🎉
41,😢😢😢😢😢😢😢😢😢😢😢😢😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ this song opens up  my heart,this song opens up  my heart 😢😢😢😢😢😢😢😢😢😢😢😢😂
42,We are still crying 😭😭,We are still crying  😭😭
43,Rip😭😭😭😭😭😭😭😭😭😭,Rip 😭😭😭😭😭😭😭😭😭😭
44,Damn man 2024 still 🥹❤️,Damn man 2024 still 🥹
45,❤❤❤❤❤ j' aime trop cette chanson ❤❤❤❤❤❤,I love this song so much
46,❤❤❤,❤❤❤
49,Today is October 20 ❤,Today is October 20
50,Africans we love you 😊😅❤,Africans we love you  😊😅
55,Rip Liam Payne❤,Rip Liam Payne
56,Perfect ❤❤,Perfect
59,James you will be remembered ❤,James you will be remembered
62,😅😊😊😊😅😅 wow is it real,wow is it real 😅😊😊😊😅😅
63,Miss poul wallker😢,Miss poul wallker 😢
