Video Title,RMSE
Luis_Fonsi_Despacito,31.408720279027655
Ed Sheeran - Shape of You ,29.713443400176356
Crazy Frog - Axel F (Official Video),31.30275935607968
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,30.775181240277533
Maroon 5 - Sugar (Official Music Video),30.257358536077128
OneRepublic - Counting Stars,31.361294350465936
श्री हनुमान चालीसा 🌺🙏 Shree Hanuman Chalisa Original Video 🙏🌺 GULSHAN KUMAR  HARIHARAN Full HD,30.63928583587874
PSY - GANGNAM STYLE(강남스타일) MV,31.08906474753432
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),30.935754109580888
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,30.04577609234471
